Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/6",,,,
Measured Values,,"Scope 1/1, Sample 1/6",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-38.9,,24.9,,
1,0.0010,-38.9,0.0010,24.9,0.0,
2,0.0025,-39.0,0.0015,24.9,-0.1,
3,0.0050,-39.0,0.0025,24.9,0.0,
4,0.0085,-38.9,0.0035,24.9,0.1,
5,0.0150,-38.8,0.0065,24.9,0.1,
6,0.0235,-38.5,0.0085,24.9,0.3,
7,0.0320,-37.8,0.0085,24.9,0.7,
8,0.0405,-37.0,0.0085,24.9,0.8,
9,0.0480,-36.1,0.0075,24.9,0.9,
10,0.0565,-35.0,0.0085,24.9,1.1,
11,0.0650,-33.7,0.0085,24.9,1.3,
12,0.0735,-32.3,0.0085,24.9,1.4,
13,0.0820,-30.7,0.0085,24.9,1.6,
14,0.0905,-29.2,0.0085,24.9,1.5,
15,0.0990,-27.5,0.0085,24.9,1.7,
16,0.1065,-25.8,0.0075,24.9,1.7,
17,0.1150,-23.9,0.0085,24.9,1.9,
18,0.1235,-22.0,0.0085,24.9,1.9,
19,0.1320,-20.0,0.0085,24.9,2.0,
20,0.1405,-18.0,0.0085,24.9,2.0,
21,0.1485,-16.0,0.0080,24.9,2.0,
22,0.1570,-14.3,0.0085,24.9,1.7,
23,0.1650,-12.5,0.0080,24.9,1.8,
24,0.1735,-10.7,0.0085,24.9,1.8,
25,0.1820,-9.1,0.0085,24.9,1.6,
26,0.1900,-7.8,0.0080,24.9,1.3,
27,0.1985,-6.4,0.0085,24.9,1.4,
28,0.2070,-4.3,0.0085,24.9,2.1,
29,0.2150,-2.8,0.0080,24.9,1.5,
30,0.2235,-1.3,0.0085,24.9,1.5,
31,0.2315,-0.8,0.0080,24.9,0.5,
32,0.2400,0.0,0.0085,24.9,0.8,
33,0.2485,2.6,0.0085,24.9,2.6,
34,0.2570,3.0,0.0085,24.9,0.4,
35,0.2655,4.0,0.0085,24.9,1.0,
36,0.2730,4.8,0.0075,24.9,0.8,
37,0.2815,5.6,0.0085,24.8,0.8,
38,0.2900,6.4,0.0085,24.8,0.8,
39,0.2985,7.8,0.0085,24.9,1.4,
40,0.3070,9.0,0.0085,24.9,1.2,
41,0.3155,10.3,0.0085,24.9,1.3,
42,0.3240,11.4,0.0085,24.9,1.1,
43,0.3315,12.6,0.0075,24.9,1.2,
44,0.3400,13.6,0.0085,24.9,1.0,
45,0.3485,14.7,0.0085,24.9,1.1,
46,0.3570,15.7,0.0085,24.9,1.0,
47,0.3655,16.8,0.0085,24.8,1.1,
48,0.3740,17.7,0.0085,24.8,0.9,
49,0.3815,18.6,0.0075,24.9,0.9,
50,0.3900,19.5,0.0085,24.9,0.9,
51,0.3985,20.5,0.0085,24.8,1.0,
52,0.4070,21.5,0.0085,24.9,1.0,
53,0.4155,22.4,0.0085,24.9,0.9,
54,0.4240,23.4,0.0085,24.9,1.0,
55,0.4325,24.2,0.0085,24.9,0.8,
56,0.4400,25.2,0.0075,24.9,1.0,
57,0.4485,26.1,0.0085,24.8,0.9,
58,0.4570,27.0,0.0085,24.8,0.9,
59,0.4655,27.9,0.0085,24.8,0.9,
60,0.4740,28.8,0.0085,24.9,0.9,
61,0.4825,29.7,0.0085,24.8,0.9,
62,0.4900,30.4,0.0075,24.8,0.7,
63,0.4985,31.3,0.0085,24.9,0.9,
64,0.5070,32.3,0.0085,24.8,1.0,
65,0.5155,33.2,0.0085,24.8,0.9,
66,0.5240,34.1,0.0085,24.9,0.9,
67,0.5325,35.0,0.0085,24.9,0.9,
68,0.5410,35.9,0.0085,24.9,0.9,
69,0.5485,36.7,0.0075,24.8,0.8,
70,0.5570,37.7,0.0085,24.8,1.0,
71,0.5655,38.7,0.0085,24.8,1.0,
72,0.5740,39.6,0.0085,24.8,0.9,
73,0.5825,40.6,0.0085,24.8,1.0,
74,0.5910,41.7,0.0085,24.8,1.1,
75,0.5995,42.6,0.0085,24.8,0.9,
76,0.6070,43.5,0.0075,24.8,0.9,
77,0.6155,44.4,0.0085,24.8,0.9,
78,0.6240,45.3,0.0085,24.8,0.9,
79,0.6325,46.2,0.0085,24.8,0.9,
80,0.6410,47.2,0.0085,24.8,1.0,
81,0.6495,48.1,0.0085,24.9,0.9,
82,0.6570,48.9,0.0075,24.8,0.8,
83,0.6655,49.8,0.0085,24.8,0.9,
84,0.6740,50.9,0.0085,24.8,1.1,
85,0.6825,51.7,0.0085,24.8,0.8,
86,0.6910,52.6,0.0085,24.8,0.9,
87,0.6995,53.5,0.0085,24.8,0.9,
88,0.7080,54.4,0.0085,24.8,0.9,
89,0.7155,55.3,0.0075,24.8,0.9,
90,0.7240,56.2,0.0085,24.8,0.9,
91,0.7325,57.1,0.0085,24.8,0.9,
92,0.7410,58.1,0.0085,24.8,1.0,
93,0.7495,59.1,0.0085,24.8,1.0,
94,0.7575,60.1,0.0080,24.8,1.0,
95,0.7660,60.9,0.0085,24.8,0.8,
96,0.7740,61.8,0.0080,24.8,0.9,
97,0.7825,62.8,0.0085,24.8,1.0,
98,0.7905,63.7,0.0080,24.8,0.9,
99,0.7990,64.7,0.0085,24.8,1.0,
100,0.8075,65.6,0.0085,24.8,0.9,
101,0.8160,66.5,0.0085,24.8,0.9,
102,0.8240,67.4,0.0080,24.8,0.9,
103,0.8320,68.4,0.0080,24.8,1.0,
104,0.8405,69.3,0.0085,24.8,0.9,
105,0.8490,70.3,0.0085,24.8,1.0,
106,0.8575,71.4,0.0085,24.8,1.1,
107,0.8660,72.4,0.0085,24.8,1.0,
108,0.8745,73.5,0.0085,24.8,1.1,
109,0.8820,74.7,0.0075,24.8,1.2,
110,0.8905,75.7,0.0085,24.8,1.0,
111,0.8990,76.6,0.0085,24.8,0.9,
112,0.9075,77.4,0.0085,24.8,0.8,
113,0.9160,78.5,0.0085,24.8,1.1,
114,0.9245,79.6,0.0085,24.8,1.1,
115,0.9330,80.6,0.0085,24.8,1.0,
116,0.9405,81.3,0.0075,24.8,0.7,
117,0.9490,82.3,0.0085,24.8,1.0,
118,0.9575,83.1,0.0085,24.8,0.8,
119,0.9660,84.2,0.0085,24.8,1.1,
120,0.9745,85.1,0.0085,24.8,0.9,
121,0.9830,86.0,0.0085,24.8,0.9,
122,0.9915,87.0,0.0085,24.8,1.0,
123,0.9990,87.9,0.0075,24.8,0.9,
124,1.0075,89.0,0.0085,24.8,1.1,
125,1.0160,90.0,0.0085,24.8,1.0,
126,1.0245,91.0,0.0085,24.8,1.0,
127,1.0330,92.3,0.0085,24.8,1.3,
128,1.0415,93.4,0.0085,24.8,1.1,
129,1.0490,94.4,0.0075,24.8,1.0,
130,1.0575,95.5,0.0085,24.8,1.1,
131,1.0660,96.7,0.0085,24.8,1.2,
132,1.0745,97.9,0.0085,24.8,1.2,
133,1.0830,99.1,0.0085,24.8,1.2,
134,1.0915,100.6,0.0085,24.8,1.5,
135,1.1000,101.7,0.0085,24.8,1.1,
136,1.1075,103.4,0.0075,24.8,1.7,
137,1.1160,105.3,0.0085,24.8,1.9,
138,1.1245,106.6,0.0085,24.8,1.3,
139,1.1330,108.2,0.0085,24.8,1.6,
140,1.1415,109.8,0.0085,24.8,1.6,
141,1.1500,111.2,0.0085,24.8,1.4,
142,1.1575,112.7,0.0075,24.8,1.5,
143,1.1660,114.6,0.0085,24.8,1.9,
144,1.1745,116.7,0.0085,24.8,2.1,
145,1.1830,118.6,0.0085,24.8,1.9,
146,1.1915,120.8,0.0085,24.8,2.2,
147,1.2000,122.7,0.0085,24.8,1.9,
148,1.2085,124.7,0.0085,24.8,2.0,
149,1.2160,126.7,0.0075,24.8,2.0,
150,1.2245,129.0,0.0085,24.8,2.3,
151,1.2330,131.9,0.0085,24.8,2.9,
152,1.2415,134.6,0.0085,24.8,2.7,
153,1.2500,137.2,0.0085,24.8,2.6,
154,1.2580,140.3,0.0080,24.8,3.1,
155,1.2665,143.7,0.0085,24.8,3.4,
156,1.2745,146.7,0.0080,24.8,3.0,
157,1.2830,150.5,0.0085,24.8,3.8,
158,1.2915,153.9,0.0085,24.8,3.4,
159,1.3000,157.5,0.0085,24.8,3.6,
