sample,mass,salinity,Sample.ID,Type
20180614_Tank15,59.4,34.27,Tank15,Tank
20180614_Tank10,59.65,34.28,Tank10,Tank
20180614_Tank11,59.08,34.22,Tank11,Tank
20180614_Tank13,59.37,34.21,Tank13,Tank
20180614_Tank12,59.73,34.17,Tank12,Tank
20180614_Tank14,59.24,34.34,Tank14,Tank
