sample,mass,salinity,Sample.ID,Type
20180614_Conical1,59.36,34.32,Conical1,Conical
20180614_Conical2,59.87,34.31,Conical2,Conical
20180614_Conical3,59.84,34.3,Conical3,Conical
20180614_Conical4,59.68,34.37,Conical4,Conical
20180614_Conical5,59.38,34.29,Conical5,Conical
20180614_Conical6,59.65,34.34,Conical6,Conical
20180614_Conical7,59.37,34.3,Conical7,Conical
20180614_Conical8,59.37,34.34,Conical8,Conical
20180614_Conical9,59.09,34.29,Conical9,Conical
