Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-57.8,,24.5,,
1,0.0010,-57.8,0.0010,24.5,0.0,
2,0.0025,-57.8,0.0015,24.5,0.0,
3,0.0050,-57.8,0.0025,24.5,0.0,
4,0.0085,-57.8,0.0035,24.5,0.0,
5,0.0145,-57.7,0.0060,24.5,0.1,
6,0.0230,-57.5,0.0085,24.5,0.2,
7,0.0310,-56.8,0.0080,24.5,0.7,
8,0.0395,-56.3,0.0085,24.5,0.5,
9,0.0475,-55.7,0.0080,24.5,0.6,
10,0.0560,-55.0,0.0085,24.5,0.7,
11,0.0640,-54.0,0.0080,24.5,1.0,
12,0.0725,-53.0,0.0085,24.5,1.0,
13,0.0810,-51.8,0.0085,24.5,1.2,
14,0.0895,-50.5,0.0085,24.5,1.3,
15,0.0980,-49.2,0.0085,24.5,1.3,
16,0.1055,-48.0,0.0075,24.5,1.2,
17,0.1140,-46.5,0.0085,24.5,1.5,
18,0.1225,-45.0,0.0085,24.5,1.5,
19,0.1310,-43.3,0.0085,24.5,1.7,
20,0.1395,-41.6,0.0085,24.5,1.7,
21,0.1480,-39.8,0.0085,24.5,1.8,
22,0.1565,-38.1,0.0085,24.5,1.7,
23,0.1640,-36.3,0.0075,24.5,1.8,
24,0.1725,-34.3,0.0085,24.5,2.0,
25,0.1810,-32.3,0.0085,24.5,2.0,
26,0.1895,-30.1,0.0085,24.5,2.2,
27,0.1980,-27.9,0.0085,24.5,2.2,
28,0.2065,-25.8,0.0085,24.5,2.1,
29,0.2150,-23.8,0.0085,24.5,2.0,
30,0.2225,-21.7,0.0075,24.5,2.1,
31,0.2310,-19.4,0.0085,24.5,2.3,
32,0.2395,-17.3,0.0085,24.5,2.1,
33,0.2480,-15.4,0.0085,24.5,1.9,
34,0.2565,-13.6,0.0085,24.5,1.8,
35,0.2650,-12.0,0.0085,24.5,1.6,
36,0.2725,-10.6,0.0075,24.5,1.4,
37,0.2810,-9.1,0.0085,24.5,1.5,
38,0.2895,-7.8,0.0085,24.5,1.3,
39,0.2980,-6.3,0.0085,24.5,1.5,
40,0.3065,-4.2,0.0085,24.5,2.1,
41,0.3150,-2.5,0.0085,24.5,1.7,
42,0.3235,-0.9,0.0085,24.5,1.6,
43,0.3310,-0.9,0.0075,24.5,0.0,
44,0.3395,0.0,0.0085,24.4,0.9,
45,0.3480,1.3,0.0085,24.5,1.3,
46,0.3565,3.1,0.0085,24.5,1.8,
47,0.3650,4.2,0.0085,24.5,1.1,
48,0.3730,5.1,0.0080,24.5,0.9,
49,0.3815,5.8,0.0085,24.5,0.7,
50,0.3895,6.6,0.0080,24.5,0.8,
51,0.3980,7.7,0.0085,24.4,1.1,
52,0.4060,9.0,0.0080,24.4,1.3,
53,0.4145,10.3,0.0085,24.4,1.3,
54,0.4230,11.4,0.0085,24.4,1.1,
55,0.4315,12.6,0.0085,24.5,1.2,
56,0.4400,13.7,0.0085,24.5,1.1,
57,0.4475,14.6,0.0075,24.5,0.9,
58,0.4560,15.5,0.0085,24.4,0.9,
59,0.4645,16.5,0.0085,24.4,1.0,
60,0.4730,17.7,0.0085,24.4,1.2,
61,0.4815,18.9,0.0085,24.4,1.2,
62,0.4900,19.9,0.0085,24.4,1.0,
63,0.4985,20.9,0.0085,24.4,1.0,
64,0.5060,21.7,0.0075,24.4,0.8,
65,0.5145,22.7,0.0085,24.4,1.0,
66,0.5230,23.8,0.0085,24.4,1.1,
67,0.5315,25.2,0.0085,24.4,1.4,
68,0.5400,26.3,0.0085,24.4,1.1,
69,0.5485,27.3,0.0085,24.4,1.0,
70,0.5570,28.3,0.0085,24.4,1.0,
71,0.5645,29.1,0.0075,24.4,0.8,
72,0.5730,30.0,0.0085,24.4,0.9,
73,0.5815,30.9,0.0085,24.4,0.9,
74,0.5900,31.9,0.0085,24.4,1.0,
75,0.5985,32.7,0.0085,24.4,0.8,
76,0.6070,33.6,0.0085,24.4,0.9,
77,0.6150,34.5,0.0080,24.4,0.9,
78,0.6235,35.4,0.0085,24.4,0.9,
79,0.6315,36.4,0.0080,24.4,1.0,
80,0.6400,37.8,0.0085,24.4,1.4,
81,0.6480,38.7,0.0080,24.4,0.9,
82,0.6565,39.5,0.0085,24.4,0.8,
83,0.6650,40.4,0.0085,24.4,0.9,
84,0.6735,41.2,0.0085,24.4,0.8,
85,0.6815,42.8,0.0080,24.4,1.6,
86,0.6895,43.9,0.0080,24.4,1.1,
87,0.6980,44.8,0.0085,24.4,0.9,
88,0.7065,45.5,0.0085,24.4,0.7,
89,0.7150,46.4,0.0085,24.4,0.9,
90,0.7235,47.2,0.0085,24.4,0.8,
91,0.7320,47.9,0.0085,24.4,0.7,
92,0.7395,48.7,0.0075,24.4,0.8,
93,0.7480,49.6,0.0085,24.4,0.9,
94,0.7565,50.5,0.0085,24.4,0.9,
95,0.7650,51.4,0.0085,24.4,0.9,
96,0.7735,52.3,0.0085,24.4,0.9,
97,0.7820,53.2,0.0085,24.4,0.9,
98,0.7905,54.2,0.0085,24.4,1.0,
99,0.7980,55.1,0.0075,24.4,0.9,
100,0.8065,56.2,0.0085,24.4,1.1,
101,0.8150,57.2,0.0085,24.4,1.0,
102,0.8235,58.2,0.0085,24.4,1.0,
103,0.8320,59.0,0.0085,24.4,0.8,
104,0.8405,60.0,0.0085,24.4,1.0,
105,0.8490,60.9,0.0085,24.4,0.9,
106,0.8565,61.6,0.0075,24.4,0.7,
107,0.8650,62.4,0.0085,24.4,0.8,
108,0.8735,63.4,0.0085,24.4,1.0,
109,0.8820,64.3,0.0085,24.4,0.9,
110,0.8905,65.3,0.0085,24.4,1.0,
111,0.8990,66.2,0.0085,24.4,0.9,
112,0.9075,67.1,0.0085,24.4,0.9,
113,0.9150,67.9,0.0075,24.4,0.8,
114,0.9235,68.8,0.0085,24.4,0.9,
115,0.9320,69.8,0.0085,24.4,1.0,
116,0.9405,71.1,0.0085,24.4,1.3,
117,0.9490,71.9,0.0085,24.4,0.8,
118,0.9575,73.0,0.0085,24.4,1.1,
119,0.9655,73.8,0.0080,24.4,0.8,
120,0.9735,74.7,0.0080,24.4,0.9,
121,0.9820,76.0,0.0085,24.4,1.3,
122,0.9905,76.9,0.0085,24.4,0.9,
123,0.9985,77.7,0.0080,24.4,0.8,
124,1.0070,78.7,0.0085,24.4,1.0,
125,1.0155,79.7,0.0085,24.4,1.0,
126,1.0240,80.5,0.0085,24.4,0.8,
127,1.0315,81.5,0.0075,24.4,1.0,
128,1.0400,83.0,0.0085,24.4,1.5,
129,1.0485,84.1,0.0085,24.4,1.1,
130,1.0570,85.2,0.0085,24.4,1.1,
131,1.0655,86.1,0.0085,24.4,0.9,
132,1.0740,87.1,0.0085,24.4,1.0,
133,1.0825,88.1,0.0085,24.4,1.0,
134,1.0900,89.2,0.0075,24.4,1.1,
135,1.0985,90.4,0.0085,24.4,1.2,
136,1.1070,91.5,0.0085,24.4,1.1,
137,1.1155,92.8,0.0085,24.4,1.3,
138,1.1240,94.0,0.0085,24.4,1.2,
139,1.1325,95.4,0.0085,24.4,1.4,
140,1.1410,96.5,0.0085,24.4,1.1,
141,1.1485,98.3,0.0075,24.4,1.8,
142,1.1570,99.7,0.0085,24.4,1.4,
143,1.1655,101.3,0.0085,24.4,1.6,
144,1.1740,103.0,0.0085,24.4,1.7,
145,1.1825,104.8,0.0085,24.4,1.8,
146,1.1910,106.4,0.0085,24.4,1.6,
147,1.1985,108.2,0.0075,24.4,1.8,
148,1.2070,110.1,0.0085,24.4,1.9,
149,1.2155,112.2,0.0085,24.4,2.1,
150,1.2240,114.4,0.0085,24.4,2.2,
151,1.2325,116.7,0.0085,24.4,2.3,
152,1.2410,119.0,0.0085,24.4,2.3,
153,1.2490,121.8,0.0080,24.4,2.8,
154,1.2575,124.3,0.0085,24.4,2.5,
155,1.2655,127.7,0.0080,24.4,3.4,
156,1.2740,131.0,0.0085,24.4,3.3,
157,1.2825,134.2,0.0085,24.4,3.2,
158,1.2905,137.4,0.0080,24.4,3.2,
159,1.2990,141.3,0.0085,24.4,3.9,
