Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/9",,,,
Measured Values,,"Scope 1/1, Sample 1/9",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-37.2,,25.1,,
1,0.0005,-37.2,0.0005,25.1,0.0,
2,0.0025,-37.2,0.0020,25.1,0.0,
3,0.0050,-37.2,0.0025,25.1,0.0,
4,0.0090,-37.2,0.0040,25.1,0.0,
5,0.0150,-37.1,0.0060,25.1,0.1,
6,0.0235,-36.7,0.0085,25.1,0.4,
7,0.0320,-36.2,0.0085,25.1,0.5,
8,0.0395,-35.5,0.0075,25.1,0.7,
9,0.0480,-34.6,0.0085,25.1,0.9,
10,0.0565,-33.4,0.0085,25.1,1.2,
11,0.0650,-32.2,0.0085,25.1,1.2,
12,0.0735,-30.7,0.0085,25.1,1.5,
13,0.0820,-29.2,0.0085,25.1,1.5,
14,0.0905,-27.5,0.0085,25.1,1.7,
15,0.0980,-25.9,0.0075,25.1,1.6,
16,0.1065,-24.0,0.0085,25.1,1.9,
17,0.1150,-22.2,0.0085,25.1,1.8,
18,0.1235,-20.3,0.0085,25.1,1.9,
19,0.1320,-18.4,0.0085,25.1,1.9,
20,0.1405,-16.5,0.0085,25.1,1.9,
21,0.1490,-14.6,0.0085,25.1,1.9,
22,0.1565,-12.9,0.0075,25.1,1.7,
23,0.1650,-11.1,0.0085,25.1,1.8,
24,0.1735,-9.5,0.0085,25.1,1.6,
25,0.1820,-8.1,0.0085,25.1,1.4,
26,0.1905,-6.7,0.0085,25.1,1.4,
27,0.1990,-4.5,0.0085,25.1,2.2,
28,0.2070,-3.0,0.0080,25.1,1.5,
29,0.2150,-1.5,0.0080,25.1,1.5,
30,0.2235,-0.6,0.0085,25.1,0.9,
31,0.2320,-0.2,0.0085,25.1,0.4,
32,0.2405,1.4,0.0085,25.1,1.6,
33,0.2485,2.7,0.0080,25.1,1.3,
34,0.2570,3.9,0.0085,25.1,1.2,
35,0.2650,4.8,0.0080,25.1,0.9,
36,0.2735,5.6,0.0085,25.1,0.8,
37,0.2815,6.3,0.0080,25.1,0.7,
38,0.2900,7.6,0.0085,25.1,1.3,
39,0.2985,8.9,0.0085,25.1,1.3,
40,0.3070,10.2,0.0085,25.1,1.3,
41,0.3155,11.4,0.0085,25.1,1.2,
42,0.3230,12.3,0.0075,25.1,0.9,
43,0.3315,13.4,0.0085,25.1,1.1,
44,0.3400,14.4,0.0085,25.1,1.0,
45,0.3485,15.4,0.0085,25.1,1.0,
46,0.3570,16.4,0.0085,25.1,1.0,
47,0.3655,17.4,0.0085,25.1,1.0,
48,0.3740,18.3,0.0085,25.1,0.9,
49,0.3815,19.1,0.0075,25.1,0.8,
50,0.3900,20.0,0.0085,25.1,0.9,
51,0.3985,20.9,0.0085,25.1,0.9,
52,0.4070,21.8,0.0085,25.1,0.9,
53,0.4155,22.7,0.0085,25.1,0.9,
54,0.4240,23.6,0.0085,25.1,0.9,
55,0.4325,24.5,0.0085,25.1,0.9,
56,0.4400,25.3,0.0075,25.1,0.8,
57,0.4485,26.2,0.0085,25.1,0.9,
58,0.4570,27.0,0.0085,25.1,0.8,
59,0.4655,28.0,0.0085,25.1,1.0,
60,0.4740,28.9,0.0085,25.1,0.9,
61,0.4825,29.8,0.0085,25.1,0.9,
62,0.4900,30.6,0.0075,25.1,0.8,
63,0.4985,31.5,0.0085,25.1,0.9,
64,0.5070,32.3,0.0085,25.1,0.8,
65,0.5155,33.3,0.0085,25.1,1.0,
66,0.5240,34.2,0.0085,25.1,0.9,
67,0.5325,35.0,0.0085,25.1,0.8,
68,0.5410,36.0,0.0085,25.1,1.0,
69,0.5485,36.9,0.0075,25.1,0.9,
70,0.5570,37.8,0.0085,25.1,0.9,
71,0.5655,38.8,0.0085,25.1,1.0,
72,0.5740,39.7,0.0085,25.1,0.9,
73,0.5825,40.7,0.0085,25.1,1.0,
74,0.5910,41.5,0.0085,25.1,0.8,
75,0.5985,42.3,0.0075,25.1,0.8,
76,0.6070,43.4,0.0085,25.1,1.1,
77,0.6155,44.3,0.0085,25.1,0.9,
78,0.6240,45.1,0.0085,25.0,0.8,
79,0.6325,46.0,0.0085,25.0,0.9,
80,0.6410,46.9,0.0085,25.1,0.9,
81,0.6495,47.8,0.0085,25.1,0.9,
82,0.6570,48.6,0.0075,25.1,0.8,
83,0.6655,49.5,0.0085,25.1,0.9,
84,0.6740,50.4,0.0085,25.0,0.9,
85,0.6825,51.3,0.0085,25.0,0.9,
86,0.6910,52.2,0.0085,25.1,0.9,
87,0.6995,53.0,0.0085,25.0,0.8,
88,0.7080,53.9,0.0085,25.0,0.9,
89,0.7155,54.8,0.0075,25.0,0.9,
90,0.7240,55.7,0.0085,25.1,0.9,
91,0.7325,56.7,0.0085,25.0,1.0,
92,0.7410,57.6,0.0085,25.0,0.9,
93,0.7495,58.5,0.0085,25.0,0.9,
94,0.7580,59.4,0.0085,25.0,0.9,
95,0.7655,60.2,0.0075,25.0,0.8,
96,0.7740,61.1,0.0085,25.0,0.9,
97,0.7825,62.3,0.0085,25.0,1.2,
98,0.7910,63.1,0.0085,25.0,0.8,
99,0.7990,64.0,0.0080,25.0,0.9,
100,0.8075,65.0,0.0085,25.0,1.0,
101,0.8160,65.9,0.0085,25.0,0.9,
102,0.8240,66.8,0.0080,25.0,0.9,
103,0.8325,67.7,0.0085,25.0,0.9,
104,0.8405,68.6,0.0080,25.0,0.9,
105,0.8490,69.7,0.0085,25.0,1.1,
106,0.8575,70.7,0.0085,25.0,1.0,
107,0.8660,71.7,0.0085,25.0,1.0,
108,0.8745,72.8,0.0085,25.0,1.1,
109,0.8820,73.8,0.0075,25.0,1.0,
110,0.8905,74.7,0.0085,25.0,0.9,
111,0.8990,75.7,0.0085,25.0,1.0,
112,0.9075,76.6,0.0085,25.0,0.9,
113,0.9160,77.6,0.0085,25.0,1.0,
114,0.9245,78.7,0.0085,25.0,1.1,
115,0.9330,79.6,0.0085,25.0,0.9,
116,0.9405,80.6,0.0075,25.0,1.0,
117,0.9490,81.6,0.0085,25.0,1.0,
118,0.9575,82.6,0.0085,25.0,1.0,
119,0.9660,83.5,0.0085,25.0,0.9,
120,0.9745,84.4,0.0085,25.0,0.9,
121,0.9830,85.5,0.0085,25.0,1.1,
122,0.9905,86.5,0.0075,25.0,1.0,
123,0.9990,87.5,0.0085,25.0,1.0,
124,1.0075,88.6,0.0085,25.0,1.1,
125,1.0160,89.6,0.0085,25.0,1.0,
126,1.0245,90.6,0.0085,25.0,1.0,
127,1.0330,91.7,0.0085,25.0,1.1,
128,1.0415,93.1,0.0085,25.0,1.4,
129,1.0490,94.0,0.0075,25.0,0.9,
130,1.0575,95.3,0.0085,25.0,1.3,
131,1.0660,96.5,0.0085,25.0,1.2,
132,1.0745,97.8,0.0085,25.0,1.3,
133,1.0830,99.3,0.0085,25.0,1.5,
134,1.0915,100.5,0.0085,25.0,1.2,
135,1.0990,101.8,0.0075,25.0,1.3,
136,1.1075,103.1,0.0085,25.0,1.3,
137,1.1160,104.5,0.0085,25.0,1.4,
138,1.1245,106.3,0.0085,25.0,1.8,
139,1.1330,107.7,0.0085,25.0,1.4,
140,1.1415,109.1,0.0085,25.0,1.4,
141,1.1500,110.3,0.0085,25.0,1.2,
142,1.1575,111.8,0.0075,25.0,1.5,
143,1.1660,113.6,0.0085,25.0,1.8,
144,1.1745,115.6,0.0085,25.0,2.0,
145,1.1830,117.8,0.0085,25.0,2.2,
146,1.1915,120.0,0.0085,25.0,2.2,
147,1.2000,122.6,0.0085,25.0,2.6,
148,1.2085,124.9,0.0085,25.0,2.3,
149,1.2160,127.2,0.0075,25.0,2.3,
150,1.2245,129.5,0.0085,25.0,2.3,
151,1.2330,132.5,0.0085,25.0,3.0,
152,1.2415,135.3,0.0085,25.0,2.8,
153,1.2500,138.0,0.0085,25.0,2.7,
154,1.2585,141.5,0.0085,25.0,3.5,
155,1.2660,144.5,0.0075,25.0,3.0,
156,1.2745,147.9,0.0085,25.0,3.4,
157,1.2830,151.4,0.0085,25.0,3.5,
158,1.2915,155.5,0.0085,25.0,4.1,
159,1.3000,159.2,0.0085,25.0,3.7,
160,1.3085,162.6,0.0085,25.0,3.4,
