Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
118,0.9570,76.4,0.0085,26.1,1.1,
119,0.9655,77.3,0.0085,26.1,0.9,
120,0.9740,78.3,0.0085,26.1,1.0,
121,0.9825,79.3,0.0085,26.1,1.0,
122,0.9910,80.4,0.0085,26.1,1.1,
123,0.9985,81.3,0.0075,26.1,0.9,
124,1.0070,82.2,0.0085,26.1,0.9,
125,1.0155,83.3,0.0085,26.1,1.1,
126,1.0240,84.3,0.0085,26.1,1.0,
127,1.0325,85.7,0.0085,26.1,1.4,
128,1.0410,86.9,0.0085,26.1,1.2,
129,1.0495,88.1,0.0085,26.1,1.2,
130,1.0570,89.2,0.0075,26.1,1.1,
131,1.0655,90.4,0.0085,26.1,1.2,
132,1.0740,92.0,0.0085,26.1,1.6,
133,1.0825,93.4,0.0085,26.1,1.4,
134,1.0910,94.7,0.0085,26.1,1.3,
135,1.0995,95.9,0.0085,26.1,1.2,
136,1.1080,96.9,0.0085,26.1,1.0,
137,1.1155,98.2,0.0075,26.1,1.3,
138,1.1240,99.5,0.0085,26.1,1.3,
139,1.1325,101.1,0.0085,26.1,1.6,
140,1.1410,102.5,0.0085,26.1,1.4,
141,1.1495,104.1,0.0085,26.1,1.6,
142,1.1580,105.7,0.0085,26.1,1.6,
143,1.1655,107.6,0.0075,26.1,1.9,
144,1.1740,109.3,0.0085,26.1,1.7,
145,1.1825,111.2,0.0085,26.1,1.9,
146,1.1910,113.0,0.0085,26.1,1.8,
147,1.1995,115.0,0.0085,26.1,2.0,
148,1.2075,117.0,0.0080,26.1,2.0,
149,1.2160,119.2,0.0085,26.1,2.2,
150,1.2240,121.5,0.0080,26.1,2.3,
151,1.2325,123.9,0.0085,26.1,2.4,
152,1.2410,126.4,0.0085,26.1,2.5,
153,1.2490,129.0,0.0080,26.1,2.6,
154,1.2575,132.4,0.0085,26.1,3.4,
155,1.2660,136.1,0.0085,26.1,3.7,
156,1.2745,139.2,0.0085,26.1,3.1,
157,1.2825,143.2,0.0080,26.1,4.0,
158,1.2905,147.0,0.0080,26.1,3.8,
159,1.2990,150.6,0.0085,26.1,3.6,
160,1.3075,153.8,0.0085,26.1,3.2,
161,1.3160,157.6,0.0085,26.1,3.8,
162,1.3245,161.3,0.0085,26.1,3.7,
163,1.3330,164.3,0.0085,26.1,3.0,
164,1.3405,167.5,0.0075,26.1,3.2,
165,1.3490,170.6,0.0085,26.1,3.1,
166,1.3575,173.8,0.0085,26.1,3.2,
167,1.3660,176.3,0.0085,26.1,2.5,
168,1.3745,178.6,0.0085,26.1,2.3,
169,1.3830,181.0,0.0085,26.1,2.4,
170,1.3905,182.7,0.0075,26.1,1.7,
171,1.3990,184.8,0.0085,26.1,2.1,
171,1.4020,185.1,0.0030,26.1,0.3,
412,1.4020,193.4,0.0000,25.9,8.3,
413,1.4025,193.4,0.0005,25.9,0.0,
414,1.4045,193.5,0.0020,25.9,0.1,
414,1.4070,193.5,0.0025,25.9,0.0,
416,1.4105,193.7,0.0035,25.9,0.2,
417,1.4170,194.4,0.0065,25.9,0.7,
418,1.4255,195.6,0.0085,25.9,1.2,
419,1.4340,196.7,0.0085,25.9,1.1,
420,1.4425,198.2,0.0085,25.9,1.5,
420,1.4500,199.2,0.0075,25.9,1.0,
422,1.4585,200.4,0.0085,25.9,1.2,
423,1.4670,201.5,0.0085,25.9,1.1,
424,1.4755,202.7,0.0085,25.9,1.2,
425,1.4840,203.9,0.0085,25.9,1.2,
426,1.4925,204.9,0.0085,25.9,1.0,
426,1.5010,205.9,0.0085,25.9,1.0,
428,1.5085,206.9,0.0075,25.9,1.0,
428,1.5170,207.8,0.0085,25.8,0.9,
430,1.5255,208.7,0.0085,25.8,0.9,
431,1.5340,209.6,0.0085,25.9,0.9,
432,1.5425,210.5,0.0085,25.9,0.9,
433,1.5505,211.2,0.0080,25.9,0.7,
434,1.5585,212.0,0.0080,25.8,0.8,
434,1.5670,212.8,0.0085,25.8,0.8,
436,1.5755,213.6,0.0085,25.8,0.8,
437,1.5840,214.3,0.0085,25.8,0.7,
438,1.5920,215.0,0.0080,25.8,0.7,
439,1.6005,215.8,0.0085,25.8,0.8,
440,1.6090,216.5,0.0085,25.8,0.7,
440,1.6170,217.1,0.0080,25.8,0.6,
442,1.6255,217.8,0.0085,25.8,0.7,
443,1.6335,218.5,0.0080,25.8,0.7,
444,1.6420,219.1,0.0085,25.8,0.6,
445,1.6505,219.7,0.0085,25.8,0.6,
446,1.6590,220.2,0.0085,25.8,0.5,
446,1.6675,220.8,0.0085,25.8,0.6,
448,1.6750,221.3,0.0075,25.8,0.5,
448,1.6835,221.9,0.0085,25.8,0.6,
450,1.6920,222.5,0.0085,25.8,0.6,
451,1.7005,223.0,0.0085,25.8,0.5,
452,1.7090,223.5,0.0085,25.8,0.5,
453,1.7175,224.0,0.0085,25.8,0.5,
454,1.7250,224.6,0.0075,25.8,0.6,
454,1.7335,225.0,0.0085,25.8,0.4,
456,1.7420,225.5,0.0085,25.8,0.5,
457,1.7505,226.1,0.0085,25.8,0.6,
458,1.7590,226.5,0.0085,25.8,0.4,
459,1.7675,226.8,0.0085,25.8,0.3,
460,1.7760,227.3,0.0085,25.8,0.5,
460,1.7835,227.7,0.0075,25.8,0.4,
462,1.7920,228.2,0.0085,25.8,0.5,
463,1.8005,228.7,0.0085,25.8,0.5,
464,1.8090,229.0,0.0085,25.8,0.3,
465,1.8175,229.5,0.0085,25.8,0.5,
466,1.8260,229.9,0.0085,25.8,0.4,
466,1.8345,230.3,0.0085,25.8,0.4,
468,1.8420,230.7,0.0075,25.8,0.4,
468,1.8505,231.0,0.0085,25.8,0.3,
470,1.8590,231.5,0.0085,25.8,0.5,
471,1.8675,231.8,0.0085,25.8,0.3,
472,1.8760,232.2,0.0085,25.8,0.4,
473,1.8845,232.7,0.0085,25.8,0.5,
474,1.8930,232.9,0.0085,25.8,0.2,
475,1.9005,233.4,0.0075,25.8,0.5,
476,1.9085,233.6,0.0080,25.8,0.2,
477,1.9165,234.0,0.0080,25.8,0.4,
478,1.9220,234.3,0.0055,25.8,0.3,
479,1.9235,234.4,0.0015,25.8,0.1,
480,1.9240,234.5,0.0005,25.8,0.1,
480,1.9245,234.5,0.0005,25.8,0.0,
482,1.9260,234.5,0.0015,25.8,0.0,
483,1.9280,234.7,0.0020,25.8,0.2,
484,1.9300,234.8,0.0020,25.8,0.1,
485,1.9325,234.8,0.0025,25.8,0.0,
486,1.9370,235.0,0.0045,25.8,0.2,
,1.9370,235.0,,,,EP
Titration (EP) [1],,"Scope 1/1, Sample 2/3",,,,
Measured Values,,"Scope 1/1, Sample 2/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-34.1,,24.6,,
1,0.0010,-34.7,0.0010,24.6,-0.6,
2,0.0025,-34.8,0.0015,24.6,-0.1,
3,0.0050,-34.9,0.0025,24.6,-0.1,
4,0.0085,-35.1,0.0035,24.6,-0.2,
5,0.0150,-35.1,0.0065,24.6,0.0,
6,0.0235,-35.1,0.0085,24.6,0.0,
7,0.0315,-34.8,0.0080,24.6,0.3,
8,0.0395,-34.5,0.0080,24.6,0.3,
9,0.0480,-34.0,0.0085,24.6,0.5,
10,0.0565,-33.4,0.0085,24.6,0.6,
11,0.0650,-32.7,0.0085,24.6,0.7,
12,0.0730,-31.9,0.0080,24.6,0.8,
13,0.0815,-31.0,0.0085,24.6,0.9,
14,0.0900,-30.2,0.0085,24.6,0.8,
15,0.0980,-29.2,0.0080,24.6,1.0,
16,0.1065,-28.1,0.0085,24.6,1.1,
17,0.1150,-27.0,0.0085,24.6,1.1,
18,0.1230,-25.8,0.0080,24.6,1.2,
19,0.1315,-24.4,0.0085,24.6,1.4,
20,0.1400,-23.1,0.0085,24.6,1.3,
21,0.1485,-21.8,0.0085,24.6,1.3,
22,0.1560,-20.3,0.0075,24.6,1.5,
23,0.1645,-18.8,0.0085,24.6,1.5,
24,0.1730,-17.1,0.0085,24.6,1.7,
25,0.1815,-15.5,0.0085,24.6,1.6,
26,0.1900,-13.8,0.0085,24.6,1.7,
27,0.1985,-12.2,0.0085,24.6,1.6,
28,0.2060,-10.8,0.0075,24.6,1.4,
29,0.2145,-9.3,0.0085,24.6,1.5,
30,0.2230,-7.9,0.0085,24.6,1.4,
31,0.2315,-6.5,0.0085,24.6,1.4,
32,0.2400,-4.5,0.0085,24.6,2.0,
33,0.2485,-2.8,0.0085,24.6,1.7,
34,0.2570,-1.3,0.0085,24.6,1.5,
35,0.2645,-0.7,0.0075,24.6,0.6,
36,0.2730,-0.2,0.0085,24.6,0.5,
37,0.2815,0.9,0.0085,24.6,1.1,
38,0.2900,2.6,0.0085,24.6,1.7,
39,0.2985,3.7,0.0085,24.6,1.1,
40,0.3070,4.7,0.0085,24.6,1.0,
41,0.3155,5.3,0.0085,24.6,0.6,
42,0.3230,6.0,0.0075,24.6,0.7,
43,0.3315,6.8,0.0085,24.6,0.8,
44,0.3400,7.9,0.0085,24.6,1.1,
45,0.3485,9.0,0.0085,24.6,1.1,
46,0.3570,10.1,0.0085,24.6,1.1,
47,0.3655,11.2,0.0085,24.6,1.1,
48,0.3730,12.1,0.0075,24.6,0.9,
49,0.3815,13.0,0.0085,24.6,0.9,
