sample,mass,salinity,Sample.ID,Type
20180618_Tank11,59.44,34.26,Tank11,Tank
20180618_Tank15,59.6,34.28,Tank15,Tank
20180618_Conical17,59.78,34.04,Conical17,Conical
20180618_Tank12,59.91,34.16,Tank12,Tank
20180618_Tank13,59.07,34.31,Tank13,Tank
20180618_Conical16,59.29,34.15,Conical16,Conical
20180618_Conical18,59.42,34.04,Conical18,Conical
20180618_Tank10,59.47,34.3,Tank10,Tank
20180618_Tank14,59.25,34.2,Tank14,Tank
