gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
TRINITY_DN419_c1_g1,192.89384109948102,2.3325289216431613,0.5008773291630798,4.656886598442385,3.2102715475127436e-6,0.0037849101545175245,LvAMB
TRINITY_DN119112_c1_g1,325.5309687950858,1.4522402263351355,0.4164413942816556,3.4872619443612,4.879931451026353e-4,0.04960442885526031,LvAMB
TRINITY_DN13136_c1_g1,20897.20860823128,1.1831083863537823,0.3277040329995617,3.610295471570729,3.0584839534306856e-4,0.04960442885526031,LvAMB
TRINITY_DN140660_c0_g1,27725.17938394169,1.256414028071112,0.32650023091286545,3.8481260014986534,1.1902483406117896e-4,0.04960442885526031,LvAMB
TRINITY_DN17407_c0_g1,273.73204809444786,-1.5950815153813072,0.4557344840435225,-3.50002374459111,4.6521671680556235e-4,0.04960442885526031,LvAMB
TRINITY_DN1741_c1_g1,770.4506803410795,1.0955414970693587,0.2990870513982271,3.662951946424026,2.4932532475956196e-4,0.04960442885526031,LvAMB
TRINITY_DN210_c0_g2,94.45041785334686,1.6707670011892313,0.46748712043485746,3.5739316189825305,3.516608042126908e-4,0.04960442885526031,LvAMB
TRINITY_DN220095_c0_g1,3337.5419798913917,1.1541175646685922,0.3255811562137192,3.544792266512507,3.929226225070184e-4,0.04960442885526031,LvAMB
TRINITY_DN339_c18_g1,96.71455259781854,-2.01264256596011,0.5786525089183934,-3.4781540474474126,5.04879683005194e-4,0.04960442885526031,LvAMB
TRINITY_DN62264_c0_g1,1003.281457398628,1.5046951042581527,0.4098342605631726,3.671472224382803,2.4115729025797538e-4,0.04960442885526031,LvAMB
TRINITY_DN663_c9_g1,72.64631100437536,2.0263622692482253,0.571047289508872,3.5485016853700397,3.8742951898212405e-4,0.04960442885526031,LvAMB
TRINITY_DN94026_c0_g1,60.44067142308627,2.2475605386964945,0.5867035176414563,3.830828469772383,1.2771251751169697e-4,0.04960442885526031,LvAMB
TRINITY_DN120786_c0_g1,1891.7144460906577,2.656963935671358,0.41314745351749127,6.431030647896444,1.267416002524057e-10,1.7300228434453378e-7,XLvAMB
TRINITY_DN419_c1_g1,192.89384109948102,2.889363646138758,0.4986874894962872,5.793936497298614,6.875546473588666e-9,4.692560468224265e-6,XLvAMB
TRINITY_DN2646_c0_g1,19359.324582566547,1.9788548607941978,0.38978063019100284,5.0768424788694775,3.837587652928721e-7,1.746102382082568e-4,XLvAMB
TRINITY_DN20158_c0_g2,20045.90403738762,1.8743668760397183,0.3767306706738313,4.975349824019297,6.512991133740044e-7,2.22255822438879e-4,XLvAMB
TRINITY_DN454_c1_g1,33287.656703569715,1.7809784598317704,0.3881875958742924,4.587932429475434,4.476574730780098e-6,0.0012221049015029668,XLvAMB
TRINITY_DN1625_c0_g1,27466.893375370386,1.7384414948986064,0.38495930934997924,4.515909740782842,6.3045515239387905e-6,0.0014342854716960748,XLvAMB
TRINITY_DN5759_c3_g1,31200.518257762833,1.706416214289623,0.38809301705087174,4.396925838183643,1.0979483808894304e-5,0.0021409993427343892,XLvAMB
TRINITY_DN45797_c0_g2,1017.6552385231497,1.711127082367006,0.3987861491027772,4.290838802242366,1.7799949217404175e-5,0.003037116335219587,XLvAMB
TRINITY_DN34105_c2_g1,50.727924674732314,2.962471161417282,0.7396613061233132,4.005172552480921,6.197222641238669e-5,0.009399121005878648,XLvAMB
TRINITY_DN15490_c0_g1,188.25369061493478,1.6965311115672406,0.4392873781986813,3.862007414198757,1.1245915273387531e-4,0.014942701900765966,XLvAMB
TRINITY_DN307843_c0_g1,19910.926382829857,1.473260377268543,0.3831352573904548,3.845274870558668,1.2041737795489057e-4,0.014942701900765966,XLvAMB
TRINITY_DN1625_c7_g1,48797.58569330897,1.4796913466815877,0.3897934233646781,3.796091103613199,1.4699549780061643e-4,0.01672073787482012,XLvAMB
TRINITY_DN24844_c0_g1,291.82681080931013,1.2808031381468783,0.34309956877277065,3.733036280774616,1.891853314399532e-4,0.019864459801195087,XLvAMB
TRINITY_DN454_c0_g2,28944.578777255792,1.4305632567112332,0.388369515501987,3.683510676326278,2.3004364426054374e-4,0.022429255315403015,XLvAMB
TRINITY_DN257502_c0_g1,110.46798251948351,1.6914119783293569,0.46501044569062655,3.637363405497907,2.75443180552792e-4,0.02453542257670244,XLvAMB
TRINITY_DN26738_c2_g1,99.00038560541334,1.9029971784723343,0.52478738508798894,3.6262250819029624,2.875946968697722e-4,0.02453542257670244,XLvAMB
TRINITY_DN24005_c1_g1,219.95459735390912,1.1403394468250656,0.31887143892846825,3.576173051613053,3.486608950141085e-4,0.027995418923191653,XLvAMB
