"Treatment","Salinity_mean","Temperature_mean","pH_mean","CO2_mean","pCO2_mean","HCO3_mean","CO3_mean","DIC_mean","TA_mean","Aragonite.Sat_mean","Salinity_sd","Temperature_sd","pH_sd","CO2_sd","pCO2_sd","HCO3_sd","CO3_sd","DIC_sd","TA_sd","Aragonite.Sat_sd","Salinity_std.error","Temperature_std.error","pH_std.error","CO2_std.error","pCO2_std.error","HCO3_std.error","CO3_std.error","DIC_std.error","TA_std.error","Aragonite.Sat_std.error"
"Ambient",34.2664,26.6744,7.84811497494339,18.0302141699316,661.564194631674,1847.3574782432,147.454625288776,2012.84231770191,2210.53902311248,2.37077562668773,0.0768591785887238,0.380362546351066,0.0324216109540421,1.6745639010178,61.4708732350317,33.2894230038431,8.97337216961049,29.1199410220295,23.5343475925019,0.145533113318247,0.0153718357177448,0.0760725092702131,0.00648432219080841,0.334912780203561,12.2941746470063,6.65788460076862,1.7946744339221,5.8239882044059,4.70686951850038,0.0291066226636493
"Low",34.2908333333333,26.615,7.60728035856889,33.7700485196297,1238.21855127672,1987.22470694077,90.9538917320378,2111.94864719244,2210.87031533415,1.46159423598188,0.0802125798800573,0.441243302695818,0.0326967055753923,2.7732275746894,110.93596513611,41.4566516767445,5.53869855911001,43.316438126598,43.4371155211713,0.0881554690277257,0.0163733243048647,0.0900684120020983,0.00667418707747708,0.566082708217097,22.6447090588879,8.46230358769339,1.13058210907566,8.84193090708367,8.86656407709976,0.0179946597628045
"XLow",34.2521739130435,26.6508695652174,7.32444384510749,67.908528838464,2491.23883933188,2083.15367798146,49.7652828821306,2200.82748970206,2205.37018022196,0.800040111383617,0.0800543293780781,0.376900192280014,0.0356559958072554,5.83548695164271,226.628324178525,18.3049435552801,3.46714265288841,20.5691118507519,15.2297758386819,0.0551452505334568,0.016692481583002,0.0785891227512659,0.00743478907337138,1.21678314245949,47.255272224822,3.81684457977706,0.722949218719319,4.28895630523397,3.17562778522336,0.0114985796030143
