"Sample.ID","TA","Mass","Tank","Type"
"20180619_Conical16",2197.27867255923,59.41,"Conical16","Conical"
"20180619_Conical18",2174.5349812462,59.43,"Conical18","Conical"
"20180619_Tank15",2201.38101713724,59.28,"Tank15","Tank"
"20180620_JUNK",2224.06319667245,59.32,"JUNK","JUNK"
"20180620_CRM1",2237.94878598674,59.45,"CRM1","CRM"
"20180620_CRM2",2241.70182148475,60.13,"CRM2","CRM"
"20180618_Tank11",2204.23117146993,59.44,"Tank11","Tank"
"20180618_Tank15",2202.55800819123,59.6,"Tank15","Tank"
"20180618_Conical17",2192.43197152031,59.78,"Conical17","Conical"
"20180618_Tank12",2194.06840285498,59.91,"Tank12","Tank"
"20180618_Tank13",2202.53118752062,59.07,"Tank13","Tank"
"20180618_Conical16",2190.79482210251,59.29,"Conical16","Conical"
"20180618_Conical18",2190.86367411222,59.42,"Conical18","Conical"
"20180618_Tank10",2195.39115039683,59.47,"Tank10","Tank"
"20180618_Tank14",2206.80188153015,59.25,"Tank14","Tank"
"20180621_JUNK",2235.96885654113,59.28,"JUNK","JUNK"
"20180621_CRM1",2233.17600083488,59.87,"CRM1","CRM"
"20180621_CRM2",2234.01467840682,59.74,"CRM2","CRM"
"20180621_Conical17",2202.13972930474,59.58,"Conical17","Conical"
"20180621_Tank13",2206.95871736682,59.15,"Tank13","Tank"
"20180621_Tank11",2206.7566317053,59.23,"Tank11","Tank"
"20180621_Conical16",2205.01881487321,59.43,"Conical16","Conical"
"20180621_Tank10",2202.18464758828,59.6,"Tank10","Tank"
"20180621_Tank14",2236.18885058629,59.53,"Tank14","Tank"
"20180621_Conical18",2201.1124046773,59.39,"Conical18","Conical"
"20180621_Tank15",2206.75465715163,59.3,"Tank15","Tank"
"20180621_Tank12",2209.05129037598,59.44,"Tank12","Tank"
"20180622_JUNK",2231.81332096655,59.91,"JUNK","JUNK"
"20180622_CRM1",2233.20113375731,59.91,"CRM1","CRM"
"20180622_CRM2",2142.76559541816,59.5,"CRM2","CRM"
"20180622_Tank10",2175.437868586,59.3,"Tank10","Tank"
"20180622_Conical16",2130.90745775747,60.64,"Conical16","Conical"
"20180622_Conical17",2174.72435037677,59.71,"Conical17","Conical"
"20180622_Tank14",2195.94348406737,59.46,"Tank14","Tank"
"20180622_Tank12",2214.04655962427,59.18,"Tank12","Tank"
"20180622_Conical18",2205.60931426879,59.68,"Conical18","Conical"
"20180622_Tank15",2235.01082547762,60,"Tank15","Tank"
"20180622_Tank11",2238.68916276686,59.14,"Tank11","Tank"
"20180622_Tank13",2223.61025826218,59.09,"Tank13","Tank"
