Date,Calib.Date,Time,Sample.ID,Treatment,Type,TA.Run,Temperature,pH.MV,Salinity,Period1,Notes,
20180614,20180614,10:11,Tank13,Ambient,Tank,Yes,26.44,-52.4,34.21,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180614,20180614,10:11,Tank14,XLow,Tank,Yes,26.54,-21.9,34.34,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180614,20180614,10:11,Tank15,Low,Tank,Yes,26.48,-38.8,34.29,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,9:50,Tank10,Ambient,Tank,Yes,26.67,-51.8,34.45,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,9:50,Tank11,XLow,Tank,Yes,26.55,-19.7,34.27,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,9:50,Tank12,Low,Tank,Yes,26.42,-38.8,34.56,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,9:50,Tank13,Ambient,Tank,Yes,26.41,-51.9,34.25,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,9:50,Tank14,XLow,Tank,Yes,26.44,-23.6,34.26,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,9:50,Tank15,Low,Tank,Yes,26.39,-38.3,34.26,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,14:45,Tank10,Ambient,Tank,No,27.35,-54.2,34.26,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,14:45,Tank11,XLow,Tank,No,27.16,-20.1,34.3,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,14:45,Tank12,Low,Tank,No,27.14,-38.8,34.46,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,14:45,Tank13,Ambient,Tank,No,27.06,-52.2,34.24,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,14:45,Tank14,XLow,Tank,No,27.1,-24.2,34.26,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180615,20180615,14:45,Tank15,Low,Tank,No,27.24,-39.7,34.4,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,10:30,Tank10,Ambient,Tank,Yes,26.62,-52.2,34.29,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,10:30,Tank11,XLow,Tank,Yes,26.19,-21.7,34.25,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,10:30,Tank12,Low,Tank,Yes,26.23,-39.2,34.27,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,10:30,Tank13,Ambient,Tank,Yes,26.28,-52.5,34.25,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,10:30,Tank14,XLow,Tank,Yes,26.17,-21.7,34.37,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,10:30,Tank15,Low,Tank,Yes,26.21,-39,34.25,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,15:20,Tank10,Ambient,Tank,No,27.45,-51.9,34.21,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,15:20,Tank11,XLow,Tank,No,26.95,-22.2,34.14,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,15:20,Tank12,Low,Tank,No,27.11,-38.9,34.24,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,15:20,Tank13,Ambient,Tank,No,27.04,-52.3,34.3,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,15:20,Tank14,XLow,Tank,No,26.88,-21.2,34.08,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180616,20180616,15:20,Tank15,Low,Tank,No,27.25,-38.8,34.37,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180617,20180617,10:15,Tank10,Ambient,Tank,Yes,25.92,-52.6,34.35,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180617,20180617,10:15,Tank11,XLow,Tank,Yes,26.22,-22.4,34.14,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180617,20180617,10:15,Tank12,Low,Tank,Yes,26.21,-40.4,34.34,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180617,20180617,10:15,Tank13,Ambient,Tank,Yes,26.29,-52.9,34.37,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180617,20180617,10:15,Tank14,XLow,Tank,Yes,26.11,-24.9,34.29,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180617,20180617,10:15,Tank15,Low,Tank,Yes,26.16,-38.7,34.33,Devo,Thermo meter A325 + Mettler Toledo 5134301,& have Mon1
20180617,20180617,14:22,Tank10,Ambient,Tank,No,26.81,-52.9,34.26,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180617,20180617,14:22,Tank11,XLow,Tank,No,26.62,-23.2,34.14,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180617,20180617,14:22,Tank12,Low,Tank,No,26.65,-39.1,34.08,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180617,20180617,14:22,Tank13,Ambient,Tank,No,26.88,-53.2,34.36,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180617,20180617,14:22,Tank14,XLow,Tank,No,26.57,-24.4,34.22,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180617,20180617,14:22,Tank15,Low,Tank,No,26.75,-39.9,34.18,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,10:26,Tank10,Ambient,Tank,Yes,26.43,-54.3,34.16,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,10:26,Tank11,XLow,Tank,Yes,26.32,-21.8,34.2,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,10:26,Tank12,Low,Tank,Yes,26.08,-39.5,34.3,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,10:26,Tank13,Ambient,Tank,Yes,26.23,-53.8,34.27,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,10:26,Tank14,XLow,Tank,Yes,26.28,-24.2,34.17,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,10:26,Tank15,Low,Tank,Yes,26.14,-40.5,34.22,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,11:27,Tank10,Ambient,Tank,No,26.41,-53.6,34.15,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,11:27,Tank11,XLow,Tank,No,26.21,-22.7,34.1,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,11:27,Tank12,Low,Tank,No,26.06,-39.5,34.12,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,11:27,Tank13,Ambient,Tank,No,26.3,-54.9,33.89,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,11:27,Tank14,XLow,Tank,No,26.33,-24.7,34.08,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180618,20180618,11:27,Tank15,Low,Tank,No,25.92,-39.6,34.13,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,10:30,Tank10,Ambient,Tank,Yes,27.01,-54.6,34.24,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,10:30,Tank11,XLow,Tank,Yes,26.74,-21.5,34.43,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,10:30,Tank12,Low,Tank,Yes,26.66,-40.2,34.36,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,10:30,Tank13,Ambient,Tank,Yes,26.88,-54.5,34.2,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,10:30,Tank14,XLow,Tank,Yes,26.71,-22.2,34.19,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,10:30,Tank15,Low,Tank,Yes,26.22,-39.6,34.23,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,14:22,Tank10,Ambient,Tank,No,27.35,-52.5,34.08,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180619,20180619,14:22,Tank11,XLow,Tank,No,27,-21.4,34.06,Devo,Thermo meter A325 + Mettler Toledo 5134301,
