"","X359","X361","X363","X365","X367","X371","X373","X375","X379"
"g36810",605,292,946,244,417,136,172,513,167
"g44153",106,69,139,68,58,37,32,103,31
"g43018",61,74,88,146,79,38,40,40,36
"g12281",2053,2548,2162,2248,1824,2875,2487,1330,2530
"g67098",2937,2687,3100,1763,2284,1491,1224,2363,1810
"adi2mcaRNA3258_R0",10839,10566,11279,10814,8506,12265,10641,9068,13648
"g15440",768,776,559,471,565,814,532,476,799
"adi2mcaRNA21597_R0",2751,2544,2466,1852,1876,1614,1245,2198,1342
"g3119",770,945,1053,1070,651,1520,1001,652,1528
"g4728",311,248,220,240,196,356,355,194,332
"g5456",447,299,430,342,344,224,147,295,250
"g63658",167,154,75,101,85,157,143,91,182
"g57324",1632,1573,1987,1817,1390,1105,755,1555,954
"adi2mcaRNA18304_R0",689,310,1551,458,603,220,200,549,283
"g6370",601,488,577,642,455,721,619,453,749
"g16799",66,69,147,107,88,43,37,79,62
"g54580",1016,1183,1514,1259,922,1703,1360,705,1488
"g43827",491,569,575,635,395,698,663,296,769
"g67127",1486,1637,1709,1563,1198,1909,1334,999,2068
"g36991",256,253,264,242,191,154,81,217,171
"g71156",112,140,172,178,180,90,51,154,113
"g1163",103,74,53,57,63,11,14,65,37
"g28082",1449,1422,1704,1600,1392,2044,1535,1075,2102
"g70353",849,1160,897,948,605,1346,1109,616,1634
"g56838",258,200,334,194,182,131,101,176,143
"g23975",55,77,73,78,68,132,129,54,139
"g36179",156,162,148,165,158,210,231,117,250
"g52086",1148,1235,1022,1344,638,1553,1299,700,1633
"g60230",176,195,197,192,150,83,41,137,125
"g69513",1269,1082,1218,1578,919,1568,1235,726,2213
"g47574",561,657,722,666,736,951,731,495,1037
"g5229",3408,3693,4747,4393,4580,6568,4313,3823,5724
"adi2mcaRNA20823_R0",105,103,120,91,183,38,74,107,17
"g69499",1362,1203,1292,1290,971,1573,1290,733,1526
"g7816",218,170,285,212,178,297,268,168,284
"adi2mcaRNA24510_R0",3132,3056,3000,2352,2595,2029,1615,2932,1908
"g60581",427,317,372,507,234,562,468,259,609
"adi2mcaRNA30750_R0",1602,1676,1894,1700,1692,2056,1641,1352,2210
"g60688",1754,1683,2192,2080,1563,3103,2564,1829,3113
"g31197",455,587,630,724,605,1052,877,474,1214
"g31198",1061,1034,1386,1287,1194,1558,1276,894,1583
"g16418",733,749,1080,780,961,1356,807,733,1250
"adi2mcaRNA26720_R3",853,1070,976,892,818,1150,905,846,1167
"g68896",1036,992,1352,1351,1373,1774,1594,1033,1719
"g6355",252,200,236,148,157,285,206,132,255
"adi2mcaRNA9615_R2",233,274,443,382,218,168,99,416,109
"adi2mcaRNA36829_R1",549,590,715,838,650,1350,875,655,1209
"adi2mcaRNA1711_R0",3020,2949,4481,3416,3972,2986,2164,3154,2445
"g28479",3393,3143,3962,2739,3112,2518,1775,2796,2626
"g38366",83,82,186,106,111,76,52,94,66
"g64093",132,105,84,96,64,165,90,130,119
"g27919",957,1145,1172,1140,701,1348,1042,795,1301
"g35575",95,92,186,163,224,90,76,77,138
"g30578",695,670,688,499,507,749,762,516,725
"g63074",2951,3187,4657,4697,3650,5492,3867,2081,6573
"g36739",457,491,620,550,463,677,653,284,960
"g4468",1922,1849,1379,1207,1934,2258,1808,965,2072
"adi2mcaRNA39700_R0",631,711,746,690,579,849,844,480,997
"g4465",4006,4079,4304,3124,3291,2404,2013,3614,2470
"g61693",2858,2492,3113,2123,2501,1840,1393,2057,1745
"g20679",509,675,628,571,510,760,572,464,818
"g35388",105,114,100,75,77,138,92,114,162
"g1826",2776,3450,2488,2531,1965,3298,2531,1798,3395
"adi2mcaRNA10809_R0",3805,3919,3923,4570,2261,5533,4058,2217,5962
"g42660",7009,6649,9979,6845,7134,4943,3981,6239,5703
"g36913",518,482,620,472,555,674,539,436,842
"g34402",98,112,245,170,332,668,754,139,840
"g34404",3078,2953,3600,2857,2922,2100,1639,2858,2124
"g47435",1074,1096,1075,975,1018,1227,951,779,1334
"g22546",64,81,94,105,77,140,113,88,171
"g33179",3207,2994,2234,1964,2088,2807,2133,1804,2665
"g6857",1264,1077,1322,1045,1029,813,668,1114,793
"g61102",392,545,634,298,654,1642,1608,172,2005
"g61953",1783,1598,2064,1203,1457,942,901,1362,1127
"g15059",163,93,76,45,77,112,134,68,113
"adi2mcaRNA9549_R1",1131,1058,1422,863,1079,686,655,1135,726
"g34399",669,606,592,579,591,1141,1024,611,744
"g54283",348,238,521,285,366,235,189,326,232
"g45502",1443,1318,2042,1138,1349,826,690,1389,960
"adi2mcaRNA21702_R1",214,227,352,203,206,138,101,179,122
"adi2mcaRNA21702_R0",567,544,877,646,677,432,384,641,457
"adi2mcaRNA9177_R2",9499,11368,8130,6784,7599,13587,13591,5953,12225
"g66173",626,607,623,580,515,766,512,378,903
"g66172",1890,2050,1955,2105,1590,3073,2055,1038,2897
"g46625",6433,6862,7674,7534,5471,8678,6047,4854,9347
"g62841",493,430,446,422,359,548,393,367,489
"g62847",2759,2603,2955,2163,2238,1891,1255,1837,1928
"g70011",1574,1247,1879,1292,1448,1018,886,1423,1104
"g2245",1415,1496,1845,1547,1741,2624,1572,1421,2293
"g67524",826,885,930,776,629,1004,716,626,923
"g9280",459,300,434,380,334,234,149,317,240
"adi2mcaRNA14950_R0",376,543,726,661,550,772,677,439,1046
"g21202",127,112,100,64,85,156,108,67,145
"g24354",1455,1271,1867,1159,1386,928,760,1577,959
"g58619",710,731,502,477,464,972,694,396,889
"adi2mcaRNA32466_R1",4035,4811,3649,3119,2736,4269,3062,3357,3535
"g60922",427,504,430,473,366,723,420,313,536
"g39847",6401,4524,7196,3618,4703,3134,2712,4108,3100
"g35095",2443,2521,2537,2387,1891,2751,2136,1603,2902
"g58828",364,328,241,374,246,518,413,171,416
"g39856",141,91,170,94,110,63,44,123,75
"g13103",2255,2311,3049,2413,2315,3359,2166,1791,3268
"g33722",329,325,382,382,261,503,460,275,495
"g36525",160,203,61,61,77,490,600,40,364
"g32454",2017,2017,2412,2467,2166,1822,1175,2115,1721
"g47393",3198,2928,3894,2187,2778,1896,1634,2912,1945
"g30466",1606,1628,1718,1483,1468,1895,1644,1508,1768
"g30034",377,374,252,261,219,521,356,231,449
"g29269",590,633,614,611,423,770,586,434,650
"g27081",4236,4733,5771,5413,6607,8386,5367,4514,7957
"g27083",2402,2732,3753,3445,3784,4647,3649,2919,5050
"g20053",360,363,467,457,385,601,418,265,660
"adi2mcaRNA4619_R0",4540,3629,4658,3450,3752,2909,2153,3732,2848
"adi2mcaRNA4619_R1",1167,943,1267,801,991,680,471,994,689
"g61618",727,651,920,639,779,469,389,649,560
"g15355",288,290,291,262,225,402,229,206,386
"g60212",216,216,286,249,246,307,335,228,376
"g14000",406,424,1096,919,732,359,297,552,441
