,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,cluster
7244,g6324,201.8661595,-0.748431617,0.218290497,-3.428603747,0.000606695,0.015145246,xl_vs_l,1
7245,g63272,159.3304189,0.74301076,0.28064567,2.647504801,0.008108821,0.04907211,l_vs_amb,1
7246,g63273,1872.044124,-0.716468017,0.162843998,-4.399720132,1.08E-05,0.000989554,xl_vs_l,1
7247,g63273,1872.044124,-0.716468017,0.162843998,-4.399720132,1.08E-05,0.000989554,xl_vs_l,1
7248,g63273,1872.044124,0.636899648,0.162822537,3.911618491,9.17E-05,0.001753619,l_vs_amb,1
7249,g63273,1872.044124,0.636899648,0.162822537,3.911618491,9.17E-05,0.001753619,l_vs_amb,1
7250,g63277,5236.446968,0.529387058,0.142340319,3.719164478,0.000199883,0.00752879,xl_vs_l,2
7251,g63277,5236.446968,0.529387058,0.142340319,3.719164478,0.000199883,0.00752879,xl_vs_l,2
7252,g63277,5236.446968,-0.41438572,0.142388423,-2.910248684,0.003611413,0.027621312,l_vs_amb,2
7253,g63277,5236.446968,-0.41438572,0.142388423,-2.910248684,0.003611413,0.027621312,l_vs_amb,2
7254,g63296,210.928717,-0.887958237,0.267066336,-3.32486022,0.000884629,0.019449659,xl_vs_l,1
7255,g63296,210.928717,-0.887958237,0.267066336,-3.32486022,0.000884629,0.019449659,xl_vs_l,1
7256,g63296,210.928717,1.646603509,0.272064488,6.052254451,1.43E-09,1.82E-07,l_vs_amb,1
7257,g63296,210.928717,1.646603509,0.272064488,6.052254451,1.43E-09,1.82E-07,l_vs_amb,1
7258,g63345,62.23795464,-1.1210714,0.364105721,-3.078972223,0.00207716,0.034124525,xl_vs_l,1
7259,g63358,1400.997271,0.678031382,0.120407315,5.631147764,1.79E-08,8.34E-06,xl_vs_amb,1
7260,g63358,1400.997271,0.678031382,0.120407315,5.631147764,1.79E-08,8.34E-06,xl_vs_amb,1
7261,g63358,1400.997271,0.520250483,0.120852489,4.304838793,1.67E-05,0.000450874,l_vs_amb,1
7262,g63358,1400.997271,0.520250483,0.120852489,4.304838793,1.67E-05,0.000450874,l_vs_amb,1
7263,g63385,504.452388,0.710035018,0.202849544,3.500303745,0.000464728,0.012432458,xl_vs_l,2
7264,g63385,504.452388,0.710035018,0.202849544,3.500303745,0.000464728,0.012432458,xl_vs_l,2
7265,g63385,504.452388,-0.56947398,0.203240314,-2.801973529,0.005079104,0.035043365,l_vs_amb,2
7266,g63385,504.452388,-0.56947398,0.203240314,-2.801973529,0.005079104,0.035043365,l_vs_amb,2
7267,g63386,1525.199681,-0.384082525,0.137803298,-2.787179492,0.005316902,0.036125592,l_vs_amb,2
7268,g63509,4975.702875,1.012276603,0.169506857,5.971891747,2.35E-09,2.78E-07,l_vs_amb,1
7269,g63509,4975.702875,1.012276603,0.169506857,5.971891747,2.35E-09,2.78E-07,l_vs_amb,1
7270,g63509,4975.702875,-0.737934454,0.169390657,-4.356405887,1.32E-05,0.001126594,xl_vs_l,1
7271,g63509,4975.702875,-0.737934454,0.169390657,-4.356405887,1.32E-05,0.001126594,xl_vs_l,1
7272,g6355,205.1818937,-0.661601724,0.20201678,-3.274984017,0.00105668,0.021667016,xl_vs_l,1
7273,g63598,41.16430616,1.390611301,0.406717352,3.419109844,0.000628264,0.007595537,l_vs_amb,1
7274,g63599,869.256832,-0.405153983,0.138346816,-2.928538533,0.003405596,0.026514317,l_vs_amb,2
7275,g63600,236.884142,0.502270177,0.175569798,2.860800563,0.004225728,0.030849989,l_vs_amb,1
7276,g63600,236.884142,0.502270177,0.175569798,2.860800563,0.004225728,0.030849989,l_vs_amb,1
7277,g63600,236.884142,-0.626368409,0.176004949,-3.558811342,0.000372537,0.010805264,xl_vs_l,1
7278,g63600,236.884142,-0.626368409,0.176004949,-3.558811342,0.000372537,0.010805264,xl_vs_l,1
7279,g63609,223.3373506,-0.726241786,0.20248078,-3.586719609,0.000334864,0.010272022,xl_vs_l,1
7280,g63626,1834.693905,0.739800341,0.169915146,4.353939939,1.34E-05,0.000381427,l_vs_amb,1
7281,g63630,82.52595024,-0.965592692,0.319657709,-3.020708288,0.002521842,0.038679003,xl_vs_l,1
