"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast","gene_id"
"1",2386.31316840525,-0.532931685515582,0.17209590648475,-3.0967133175989,0.00195679014956592,0.0177103149024718,"l_vs_amb","adi2mcaRNA17502_R0"
"2",571.919155944628,0.65140184331037,0.187338941137219,3.47712995149919,0.000506812111877097,0.00648592346041998,"l_vs_amb","g21716"
"3",190.980441669528,0.597622610268981,0.221359095085717,2.69978791717397,0.00693836907445669,0.0436408340229259,"l_vs_amb","g21714"
"4",6818.85329638519,-0.468965711223616,0.138989127697092,-3.37411795436018,0.000740526289312621,0.0085845750519179,"l_vs_amb","g35549"
"5",206.565597098128,-2.07890843538687,0.322543312812488,-6.44536207326503,1.15324763854638e-10,2.04182017856026e-08,"l_vs_amb","g50130"
"6",1344.10754751661,0.663439546247025,0.121629150993953,5.45460969533535,4.90805292682082e-08,3.75518635183151e-06,"l_vs_amb","g7652"
"7",776.917911176944,-0.376298451523592,0.124569405773171,-3.0207935021284,0.0025211323381014,0.0212137541552028,"l_vs_amb","g7653"
"8",1790.12633130633,0.282886026304771,0.105995808995359,2.66884161728656,0.00761133323667918,0.0466946139545756,"l_vs_amb","g55565"
"9",128.45899403795,-0.953521212544865,0.251991953634802,-3.7839351566231,0.000154368057492315,0.00259578249266709,"l_vs_amb","g39880"
"10",55.8389542979037,0.977299188076665,0.328843761289321,2.97192558631765,0.0029593840173825,0.023861077833792,"l_vs_amb","g1371"
"11",52.1313804625122,-0.997157657782522,0.360206700499367,-2.76829291737252,0.00563507840026652,0.0377082543121465,"l_vs_amb","g45283"
"12",2355.4688071948,0.550698641030182,0.163926218248971,3.35942991250967,0.000781034599838305,0.00890316165495601,"l_vs_amb","g1375"
"13",599.365224886683,0.570453102761051,0.145086549226287,3.93181246506409,8.43078240440229e-05,0.00163746737488223,"l_vs_amb","adi2mcaRNA29406_R0"
"14",58.5356549416953,1.6226820132233,0.422397886818099,3.84159595457942,0.000122236932918057,0.00218041783006123,"l_vs_amb","g41941"
"15",8046.13233968968,1.07219518475526,0.138478346322116,7.7426920037102,9.73336261436617e-15,4.96471017351349e-12,"l_vs_amb","g41942"
"16",9403.11545473435,0.399627843553234,0.139645956292093,2.86172155760346,0.00421346893450434,0.0308177347162467,"l_vs_amb","adi2mcaRNA21193_R0"
"17",1322.32016361597,0.578555743322957,0.169239671582696,3.41855865065453,0.000629537485678327,0.00760664498346689,"l_vs_amb","g33595"
"18",2165.77547067656,0.62192680340365,0.125689868927691,4.94810607019919,7.49390706809548e-07,3.77745814399551e-05,"l_vs_amb","g33594"
"19",227.612345093523,0.562523948138332,0.202281604231798,2.78089522907741,0.00542092290132046,0.0366908067951924,"l_vs_amb","g7651"
"20",177.322939585004,0.898328167316246,0.209376576832954,4.29049027787362,1.78279091098104e-05,0.000475625525354258,"l_vs_amb","g38026"
"21",1317.51215863686,0.704682247750763,0.126200747516495,5.58381991880563,2.35292342964872e-08,2.08047715876472e-06,"l_vs_amb","g38027"
"22",433.102036575563,-0.527542127143521,0.175538108641467,-3.00528546892922,0.00265331695601215,0.0220659973403137,"l_vs_amb","g36344"
"23",105.657026178732,-1.11968381593574,0.248615552978405,-4.50367566518655,6.67881118209894e-06,0.000219112055059886,"l_vs_amb","g36343"
"24",89.3148629355347,-1.01295650425593,0.357632870540044,-2.83239206375609,0.00462011613191041,0.0326862977825582,"l_vs_amb","g25292"
"25",993.765991892289,0.697451889753235,0.14809847312491,4.70937934089966,2.48472252376696e-06,0.000100245217752654,"l_vs_amb","g37692"
"26",4438.46472322379,-0.398121030075105,0.124045921418724,-3.20946489430495,0.0013298228462038,0.0132137267320148,"l_vs_amb","g25969"
"27",1865.61008573911,0.935001211782689,0.152413952426064,6.13461692253047,8.53646414418692e-10,1.15016774440828e-07,"l_vs_amb","g31698"
"28",2003.07398792909,-0.448272478242656,0.108442200064245,-4.1337457002632,3.5689836401372e-05,0.000831068875246297,"l_vs_amb","g31699"
"29",331.293322694359,-0.628050015851631,0.183399359228039,-3.42449405764124,0.000615945314936308,0.00748038349312955,"l_vs_amb","g37969"
"30",7107.38427178322,0.754863753349693,0.155374277421244,4.85835728975356,1.18363675809774e-06,5.46488152343276e-05,"l_vs_amb","g61068"
"31",3573.75139109286,0.426140573561001,0.122800426549169,3.47018805663818,0.000520094081925521,0.00660575019362223,"l_vs_amb","g55558"
"32",508.060933466153,0.493470578738458,0.157803219670446,3.127126175049,0.00176524150944995,0.0163425967402534,"l_vs_amb","g27956"
"33",750.731713008547,0.486083749070203,0.1520072710185,3.19776643454803,0.00138496405192777,0.013660260075713,"l_vs_amb","g41354"
"34",96.971344041091,0.901938089081329,0.301320103082784,2.99328879770605,0.0027598845460868,0.0226272509111434,"l_vs_amb","g36478"
"35",363.829172726844,-0.432151972616403,0.159088587205989,-2.71642347327435,0.00659914493431822,0.0421758597636931,"l_vs_amb","adi2mcaRNA10307_R0"
"36",960.283323724991,-0.653372165238727,0.157032251415017,-4.16075143386911,3.1720217902406e-05,0.000758417665316121,"l_vs_amb","g32960"
"37",616.152255408912,-0.421734131540443,0.125182801047992,-3.36894627704298,0.000754561344540822,0.0086664462774138,"l_vs_amb","g32965"
"38",2429.87134495902,-0.590235805233807,0.152285115730114,-3.87586010887531,0.00010624871636839,0.00197055212535461,"l_vs_amb","g60074"
"39",31.7146207028364,-1.32772370716085,0.462941671226182,-2.86801510791659,0.00413055808829825,0.0303252042239936,"l_vs_amb","g60077"
