sample,mass,salinity,Sample.ID,Type
20180617_Tank10,59.95,34.35,Tank10,Tank
20180617_Tank11,59.09,34.14,Tank11,Tank
20180617_Tank12,59.59,34.34,Tank12,Tank
20180617_Tank13,59.63,34.37,Tank13,Tank
20180617_Tank14,59.03,34.29,Tank14,Tank
20180617_Tank15,59.82,34.33,Tank15,Tank
20180617_Conical16,59.41,34.09,Conical16,Conical
20180617_Conical17,59.97,34.14,Conical17,Conical
20180617_Conical18,59.08,34.18,Conical18,Conical
