Titration report,,,,, ,
Method,,,,,,
Method ID,,0,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/9",,,,
Measured Values,,"Scope 1/1, Sample 1/9",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0,-48.5,,24.6,,
1,0.001,-48.6,0.001,24.6,-0.1,
2,0.0025,-48.6,0.0015,24.6,0,
3,0.005,-48.6,0.0025,24.5,0,
4,0.0085,-48.6,0.0035,24.5,0,
5,0.015,-48.5,0.0065,24.5,0.1,
6,0.023,-48.3,0.008,24.5,0.2,
7,0.0315,-47.9,0.0085,24.5,0.4,
8,0.04,-47.2,0.0085,24.5,0.7,
9,0.0485,-46.5,0.0085,24.5,0.7,
10,0.056,-45.6,0.0075,24.5,0.9,
11,0.0645,-44.6,0.0085,24.5,1,
12,0.073,-43.5,0.0085,24.5,1.1,
13,0.0815,-42.3,0.0085,24.5,1.2,
14,0.09,-41,0.0085,24.5,1.3,
15,0.0985,-39.6,0.0085,24.5,1.4,
16,0.106,-38.3,0.0075,24.5,1.3,
17,0.1145,-36.8,0.0085,24.5,1.5,
18,0.123,-35.1,0.0085,24.5,1.7,
19,0.1315,-33.5,0.0085,24.5,1.6,
20,0.14,-31.8,0.0085,24.5,1.7,
21,0.1485,-30,0.0085,24.5,1.8,
22,0.157,-28.3,0.0085,24.5,1.7,
23,0.1645,-26.3,0.0075,24.5,2,
24,0.173,-24.2,0.0085,24.5,2.1,
25,0.1815,-22.2,0.0085,24.5,2,
26,0.19,-20.2,0.0085,24.5,2,
27,0.1985,-18.1,0.0085,24.5,2.1,
28,0.207,-16.1,0.0085,24.5,2,
29,0.2155,-14.4,0.0085,24.5,1.7,
30,0.223,-12.6,0.0075,24.5,1.8,
31,0.2315,-11,0.0085,24.5,1.6,
32,0.24,-9.4,0.0085,24.5,1.6,
33,0.2485,-8,0.0085,24.5,1.4,
34,0.257,-6.7,0.0085,24.5,1.3,
35,0.2655,-4.6,0.0085,24.5,2.1,
36,0.273,-3.2,0.0075,24.5,1.4,
37,0.2815,-1.8,0.0085,24.5,1.4,
38,0.29,-0.3,0.0085,24.5,1.5,
39,0.2985,-0.5,0.0085,24.5,-0.2,
40,0.307,0.6,0.0085,24.5,1.1,
41,0.3155,2.3,0.0085,24.5,1.7,
42,0.3235,3.4,0.008,24.5,1.1,
43,0.3315,4.3,0.008,24.5,0.9,
44,0.34,5.1,0.0085,24.5,0.8,
45,0.3485,5.9,0.0085,24.5,0.8,
46,0.357,6.8,0.0085,24.5,0.9,
47,0.365,8.1,0.008,24.5,1.3,
48,0.3735,9.6,0.0085,24.5,1.5,
49,0.3815,10.7,0.008,24.5,1.1,
50,0.39,11.8,0.0085,24.5,1.1,
51,0.3985,12.8,0.0085,24.5,1,
52,0.4065,13.8,0.008,24.5,1,
53,0.415,14.8,0.0085,24.5,1,
54,0.4235,15.8,0.0085,24.5,1,
55,0.432,16.8,0.0085,24.5,1,
56,0.44,17.6,0.008,24.5,0.8,
57,0.4485,18.5,0.0085,24.5,0.9,
58,0.457,19.4,0.0085,24.5,0.9,
59,0.465,20.4,0.008,24.5,1,
60,0.4735,21.3,0.0085,24.5,0.9,
61,0.482,22.3,0.0085,24.5,1,
62,0.4905,23.2,0.0085,24.5,0.9,
63,0.498,24.1,0.0075,24.5,0.9,
64,0.5065,25,0.0085,24.5,0.9,
65,0.515,25.9,0.0085,24.5,0.9,
66,0.5235,26.8,0.0085,24.5,0.9,
67,0.532,27.7,0.0085,24.5,0.9,
68,0.5405,28.6,0.0085,24.5,0.9,
69,0.549,29.5,0.0085,24.5,0.9,
70,0.5565,30.5,0.0075,24.5,1,
71,0.565,31.3,0.0085,24.5,0.8,
72,0.5735,32.4,0.0085,24.5,1.1,
73,0.582,33.4,0.0085,24.5,1,
74,0.5905,34.3,0.0085,24.5,0.9,
75,0.599,35.2,0.0085,24.5,0.9,
76,0.6065,36.1,0.0075,24.5,0.9,
77,0.615,37,0.0085,24.5,0.9,
78,0.6235,37.9,0.0085,24.5,0.9,
79,0.632,38.9,0.0085,24.5,1,
80,0.6405,39.8,0.0085,24.5,0.9,
81,0.649,40.7,0.0085,24.5,0.9,
82,0.6575,41.5,0.0085,24.5,0.8,
83,0.665,42.6,0.0075,24.5,1.1,
84,0.6735,43.5,0.0085,24.5,0.9,
85,0.682,44.5,0.0085,24.5,1,
86,0.6905,45.4,0.0085,24.5,0.9,
87,0.699,46.4,0.0085,24.5,1,
88,0.7075,47.4,0.0085,24.5,1,
89,0.715,48.3,0.0075,24.4,0.9,
90,0.7235,49.3,0.0085,24.4,1,
91,0.732,50.2,0.0085,24.4,0.9,
92,0.7405,51.2,0.0085,24.4,1,
93,0.749,52.1,0.0085,24.4,0.9,
94,0.7575,53,0.0085,24.5,0.9,
95,0.766,54,0.0085,24.4,1,
96,0.7735,54.9,0.0075,24.4,0.9,
97,0.782,55.8,0.0085,24.4,0.9,
98,0.7905,56.7,0.0085,24.4,0.9,
99,0.799,57.8,0.0085,24.5,1.1,
100,0.8075,58.8,0.0085,24.4,1,
101,0.816,59.7,0.0085,24.4,0.9,
102,0.8245,60.6,0.0085,24.4,0.9,
103,0.832,61.5,0.0075,24.4,0.9,
104,0.8405,62.7,0.0085,24.4,1.2,
105,0.849,63.7,0.0085,24.4,1,
106,0.8575,64.7,0.0085,24.4,1,
107,0.866,65.5,0.0085,24.4,0.8,
108,0.8745,66.5,0.0085,24.4,1,
109,0.882,67.6,0.0075,24.4,1.1,
110,0.8905,68.7,0.0085,24.4,1.1,
111,0.899,69.7,0.0085,24.4,1,
112,0.9075,70.6,0.0085,24.4,0.9,
113,0.916,71.5,0.0085,24.4,0.9,
114,0.9245,72.5,0.0085,24.4,1,
115,0.9325,73.6,0.008,24.4,1.1,
116,0.9405,74.6,0.008,24.4,1,
117,0.949,75.6,0.0085,24.4,1,
118,0.9575,76.6,0.0085,24.4,1,
119,0.9655,77.6,0.008,24.4,1,
120,0.974,78.8,0.0085,24.4,1.2,
121,0.9825,80,0.0085,24.4,1.2,
122,0.991,81,0.0085,24.4,1,
123,0.999,82.1,0.008,24.4,1.1,
124,1.0075,83.3,0.0085,24.4,1.2,
125,1.0155,84.3,0.008,24.4,1,
126,1.024,85.4,0.0085,24.4,1.1,
127,1.0325,86.4,0.0085,24.4,1,
128,1.041,87.6,0.0085,24.4,1.2,
129,1.0485,88.7,0.0075,24.4,1.1,
130,1.057,89.9,0.0085,24.4,1.2,
131,1.0655,91.1,0.0085,24.4,1.2,
132,1.074,92.4,0.0085,24.4,1.3,
133,1.0825,93.8,0.0085,24.4,1.4,
134,1.091,94.9,0.0085,24.4,1.1,
135,1.0995,96.2,0.0085,24.4,1.3,
136,1.107,97.3,0.0075,24.4,1.1,
137,1.1155,98.8,0.0085,24.4,1.5,
138,1.124,100.5,0.0085,24.4,1.7,
139,1.1325,102,0.0085,24.4,1.5,
140,1.141,103.9,0.0085,24.4,1.9,
141,1.1495,105.9,0.0085,24.4,2,
142,1.158,107.6,0.0085,24.4,1.7,
143,1.1655,109.1,0.0075,24.4,1.5,
144,1.174,110.8,0.0085,24.4,1.7,
145,1.1825,112.5,0.0085,24.4,1.7,
146,1.191,114.3,0.0085,24.4,1.8,
147,1.1995,116.2,0.0085,24.4,1.9,
148,1.208,118.4,0.0085,24.4,2.2,
149,1.2155,120.5,0.0075,24.4,2.1,
150,1.224,123.2,0.0085,24.4,2.7,
151,1.2325,126,0.0085,24.4,2.8,
152,1.241,128.5,0.0085,24.4,2.5,
153,1.2495,131.5,0.0085,24.4,3,
154,1.258,134.3,0.0085,24.4,2.8,
155,1.2655,137,0.0075,24.4,2.7,
156,1.274,140.4,0.0085,24.4,3.4,
157,1.2825,143.9,0.0085,24.4,3.5,
158,1.291,147.8,0.0085,24.4,3.9,
159,1.2995,151.6,0.0085,24.4,3.8,
160,1.308,155.5,0.0085,24.4,3.9,
161,1.3165,159.2,0.0085,24.4,3.7,
162,1.324,162.5,0.0075,24.4,3.3,
163,1.3325,165.5,0.0085,24.4,3,
164,1.341,168.7,0.0085,24.4,3.2,
165,1.3495,171.8,0.0085,24.4,3.1,
166,1.358,174.8,0.0085,24.4,3,
167,1.3665,177.6,0.0085,24.4,2.8,
168,1.375,180,0.0085,24.4,2.4,
169,1.3825,182.2,0.0075,24.4,2.2,
170,1.391,184.4,0.0085,24.4,2.2,
171,1.3965,185.1,0.0055,24.4,0.7,
411,1.3965,190.9,0,24.2,5.8,
412,1.397,190.9,0.0005,24.2,0,
413,1.399,190.9,0.002,24.2,0,
414,1.4015,190.9,0.0025,24.2,0,
415,1.405,191.2,0.0035,24.2,0.3,
416,1.411,191.8,0.006,24.2,0.6,
417,1.4195,192.9,0.0085,24.2,1.1,
418,1.428,194.3,0.0085,24.2,1.4,
419,1.4365,195.6,0.0085,24.2,1.3,
420,1.445,197.2,0.0085,24.2,1.6,
421,1.4525,198.3,0.0075,24.2,1.1,
422,1.461,199.5,0.0085,24.2,1.2,
423,1.4695,200.7,0.0085,24.2,1.2,
424,1.478,202.1,0.0085,24.2,1.4,
425,1.4865,203.4,0.0085,24.2,1.3,
426,1.495,204.3,0.0085,24.2,0.9,
427,1.5025,205.2,0.0075,24.2,0.9,
428,1.511,206.2,0.0085,24.2,1,
429,1.5195,207.1,0.0085,24.2,0.9,
430,1.528,207.9,0.0085,24.2,0.8,
431,1.5365,209.1,0.0085,24.2,1.2,
432,1.545,209.8,0.0085,24.2,0.7,
433,1.5535,210.7,0.0085,24.2,0.9,
434,1.561,211.4,0.0075,24.2,0.7,
435,1.5695,212.2,0.0085,24.2,0.8,
436,1.578,212.9,0.0085,24.2,0.7,
437,1.5865,213.7,0.0085,24.2,0.8,
438,1.595,214.3,0.0085,24.2,0.6,
439,1.6035,215.1,0.0085,24.2,0.8,
440,1.612,215.7,0.0085,24.2,0.6,
441,1.6195,216.5,0.0075,24.2,0.8,
442,1.628,217.1,0.0085,24.1,0.6,
443,1.6365,217.8,0.0085,24.1,0.7,
444,1.645,218.4,0.0085,24.2,0.6,
445,1.6535,218.9,0.0085,24.2,0.5,
446,1.662,219.6,0.0085,24.1,0.7,
447,1.6695,220.1,0.0075,24.2,0.5,
448,1.678,220.7,0.0085,24.2,0.6,
449,1.6865,221.2,0.0085,24.2,0.5,
450,1.695,221.9,0.0085,24.2,0.7,
451,1.7035,222.2,0.0085,24.2,0.3,
452,1.712,222.8,0.0085,24.1,0.6,
453,1.7205,223.4,0.0085,24.1,0.6,
454,1.728,223.8,0.0075,24.1,0.4,
455,1.7365,224.3,0.0085,24.1,0.5,
456,1.745,224.8,0.0085,24.1,0.5,
457,1.7535,225.3,0.0085,24.1,0.5,
458,1.7615,225.9,0.008,24.1,0.6,
459,1.77,226.3,0.0085,24.1,0.4,
460,1.7785,226.7,0.0085,24.1,0.4,
461,1.7865,227.1,0.008,24.1,0.4,
462,1.795,227.6,0.0085,24.2,0.5,
463,1.803,227.9,0.008,24.1,0.3,
464,1.8115,228.4,0.0085,24.1,0.5,
465,1.82,228.9,0.0085,24.1,0.5,
466,1.8285,229.3,0.0085,24.1,0.4,
467,1.837,229.5,0.0085,24.1,0.2,
468,1.8445,230,0.0075,24.1,0.5,
469,1.853,230.4,0.0085,24.1,0.4,
470,1.8615,230.7,0.0085,24.1,0.3,
471,1.87,231.2,0.0085,24.1,0.5,
472,1.8785,231.5,0.0085,24.1,0.3,
473,1.887,231.9,0.0085,24.1,0.4,
474,1.8945,232.2,0.0075,24.1,0.3,
475,1.903,232.5,0.0085,24.1,0.3,
476,1.9115,232.9,0.0085,24.1,0.4,
477,1.92,233.3,0.0085,24.1,0.4,
478,1.9285,233.6,0.0085,24.1,0.3,
479,1.9365,234,0.008,24.1,0.4,
480,1.9405,234.2,0.004,24.1,0.2,
481,1.942,234.2,0.0015,24.1,0,
482,1.9445,234.4,0.0025,24.1,0.2,
