sample,mass,salinity,Sample.ID,Type
20180622_Tank10,59.3,34.32,Tank10,Tank
20180622_Conical16,60.64,34.39,Conical16,Conical
20180622_Conical17,59.71,34.15,Conical17,Conical
20180622_Tank14,59.46,34.33,Tank14,Tank
20180622_Tank12,59.18,34.33,Tank12,Tank
20180622_Conical18,59.68,34.19,Conical18,Conical
20180622_Tank15,60,34.38,Tank15,Tank
20180622_Tank11,59.14,34.35,Tank11,Tank
20180622_Tank13,59.09,34.37,Tank13,Tank
