sample,mass,salinity,Sample.ID,Type
20180616_Tank10,59.02,34.29,Tank10,Tank
20180616_Tank11,59,34.25,Tank11,Tank
20180616_Tank12,59.31,34.27,Tank12,Tank
20180616_Tank13,59.22,34.25,Tank13,Tank
20180616_Tank14,59.75,34.37,Tank14,Tank
20180616_Tank15,59.36,34.25,Tank15,Tank
20180616_Conical16,59.01,34.46,Conical16,Conical
20180616_Conical17,59.81,34.26,Conical17,Conical
20180616_Conical18,59.27,34.42,Conical18,Conical
