"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast","cluster"
"1","adi2mcaRNA10013_R0",3286.49305426842,-0.278381960128152,0.103806941252616,-2.68172779940316,0.00732430288232246,0.0459546011935239,"l_vs_amb",2
"2","adi2mcaRNA10073_R0",6041.00919404989,-0.495426821334536,0.100658888828925,-4.92183876752839,8.57348357116078e-07,4.24145521321805e-05,"l_vs_amb",2
"3","adi2mcaRNA10073_R0",6041.00919404989,-0.495426821334536,0.100658888828925,-4.92183876752839,8.57348357116078e-07,4.24145521321805e-05,"l_vs_amb",2
"4","adi2mcaRNA10073_R0",6041.00919404989,0.50793220863871,0.100635481592304,5.04724775597988,4.48219953768621e-07,8.63511273309885e-05,"xl_vs_l",2
"5","adi2mcaRNA10073_R0",6041.00919404989,0.50793220863871,0.100635481592304,5.04724775597988,4.48219953768621e-07,8.63511273309885e-05,"xl_vs_l",2
"6","adi2mcaRNA1022_R0",954.012816895103,0.622760413075601,0.162394238995222,3.83486764634504,0.000125631926554101,0.00223304890702326,"l_vs_amb",1
"7","adi2mcaRNA10243_R2",390.847177219173,0.467296147034307,0.150299247543723,3.10910503326616,0.00187654995158972,0.0319461801384842,"xl_vs_l",2
"8","adi2mcaRNA10298_R0",8770.72346069661,0.444554270370483,0.153428953074918,2.89746010424389,0.00376197582625719,0.028767432731421,"l_vs_amb",1
"9","adi2mcaRNA10298_R0",8770.72346069661,0.444554270370483,0.153428953074918,2.89746010424389,0.00376197582625719,0.028767432731421,"l_vs_amb",1
"10","adi2mcaRNA10298_R0",8770.72346069661,-0.510978900486696,0.153430994419386,-3.33034992323645,0.000867369064220317,0.0194214813021852,"xl_vs_l",1
"11","adi2mcaRNA10298_R0",8770.72346069661,-0.510978900486696,0.153430994419386,-3.33034992323645,0.000867369064220317,0.0194214813021852,"xl_vs_l",1
"12","adi2mcaRNA10307_R0",363.439537123112,-0.426538937947123,0.158163917432341,-2.69681571417568,0.00700060007783031,0.0445880329084973,"l_vs_amb",2
"13","adi2mcaRNA10333_R0",466.932867415613,-0.486090954871298,0.149516864398461,-3.25107777525263,0.00114968402118388,0.0120097592985061,"l_vs_amb",2
"14","adi2mcaRNA10406_R0",2847.16478495148,0.414748124613594,0.117694865527371,3.52392708683745,0.000425201237406382,0.00577725376255317,"l_vs_amb",1
"15","adi2mcaRNA10482_R1",71.9175396321733,-0.845220807435469,0.295535618015637,-2.85996257612085,0.00423691003997333,0.0312646870155069,"l_vs_amb",2
"16","adi2mcaRNA10492_R0",550.928807550619,0.460044985251196,0.166539627284575,2.76237549436263,0.00573824426611171,0.0387667575018817,"l_vs_amb",1
"17","adi2mcaRNA10579_R0",1087.70449943919,-0.395525043330747,0.137820308945161,-2.86986037368504,0.00410653089154135,0.0306430817225129,"l_vs_amb",2
"18","adi2mcaRNA10629_R0",839.587555591045,-0.389256296632295,0.130014632010323,-2.9939422249135,0.00275398088304783,0.0228362637279138,"l_vs_amb",2
"19","adi2mcaRNA10631_R0",789.068389051357,-0.441441745112012,0.156279615467117,-2.8246917794912,0.00473261169329708,0.0338621997617692,"l_vs_amb",2
"20","adi2mcaRNA10635_R0",4410.80554941992,-0.320682853128682,0.115677108252181,-2.77222397736274,0.00556747140903044,0.037902287526036,"l_vs_amb",2
"21","adi2mcaRNA10691_R3",1297.00389748093,-0.47046283981388,0.164485813754248,-2.86020313287795,0.00423369728840838,0.0312645429909583,"l_vs_amb",2
"22","adi2mcaRNA10809_R0",3995.57116235389,-0.714523358302586,0.201938623710334,-3.53831944169094,0.000402682577205558,0.0114661843847488,"xl_vs_l",1
"23","adi2mcaRNA10809_R0",3995.57116235389,-0.714523358302586,0.201938623710334,-3.53831944169094,0.000402682577205558,0.0114661843847488,"xl_vs_l",1
"24","adi2mcaRNA10809_R0",3995.57116235389,0.791166471262002,0.201985160083953,3.91695345803207,8.96750532758663e-05,0.00174162079369279,"l_vs_amb",1
"25","adi2mcaRNA10809_R0",3995.57116235389,0.791166471262002,0.201985160083953,3.91695345803207,8.96750532758663e-05,0.00174162079369279,"l_vs_amb",1
"26","adi2mcaRNA10970_R0",6671.04517108042,0.264345135999687,0.0998267871377615,2.64803810258753,0.00809603997048463,0.0495483976523712,"l_vs_amb",1
"27","adi2mcaRNA11011_R0",74.2771528568192,0.881119705571203,0.299024852688617,2.94664372425504,0.00321243092951995,0.0257135267536009,"l_vs_amb",1
"28","adi2mcaRNA11042_R0",1745.70237754322,0.476901437618437,0.136430930102184,3.49555219818003,0.000473081911113624,0.0127835601879591,"xl_vs_l",2
"29","adi2mcaRNA11042_R0",1745.70237754322,0.476901437618437,0.136430930102184,3.49555219818003,0.000473081911113624,0.0127835601879591,"xl_vs_l",2
"30","adi2mcaRNA11042_R0",1745.70237754322,-0.397123729825925,0.13655086466296,-2.90824763948673,0.00363460395112998,0.0280281422213105,"l_vs_amb",2
"31","adi2mcaRNA11042_R0",1745.70237754322,-0.397123729825925,0.13655086466296,-2.90824763948673,0.00363460395112998,0.0280281422213105,"l_vs_amb",2
"32","adi2mcaRNA11044_R0",435.585070803323,-0.598589370937302,0.180557693838789,-3.31522494672396,0.000915694058855121,0.0101345227619866,"l_vs_amb",2
"33","adi2mcaRNA11167_R0",3457.13946674823,0.679967635152656,0.122112808610999,5.5683563656189,2.57153479339361e-08,2.25431026128058e-06,"l_vs_amb",1
"34","adi2mcaRNA11167_R0",3457.13946674823,0.679967635152656,0.122112808610999,5.5683563656189,2.57153479339361e-08,2.25431026128058e-06,"l_vs_amb",1
