mVTris,TTris
-66,24.97
-65.5,25.32
-65,25.7
-64.5,25.98
-64.3,26.17
-63.9,26.47
-63.4,26.9
-63,27.18
-62.6,27.45
-62.3,27.71
-61.9,27.99
