mVTris,TTris
-66.3,25.08
-65.8,25.49
-65.2,25.88
-65,26.1
-64.5,26.44
-64.3,26.64
-64,26.86
-63.8,27.04
-63.3,27.42
-62.8,27.78
-62.5,28.01
