mVTris,TTris
-65.2,25.07
-64.8,25.36
-64.3,25.72
-64,25.98
-63.7,26.19
-63.2,26.52
-62.8,26.88
-62.3,27.21
-61.9,27.54
-61.6,27.72
-61.3,27.99
