mVTris,TTris
-66.4,25.03
-66,25.3
-65.7,25.61
-65.3,25.92
-64.9,26.21
-64.5,26.52
-64.1,26.78
-63.8,27.08
-63.4,27.39
-63,27.68
-62.6,28.01
