mVTris,TTris
-67.2,25.1
-66.7,25.38
-66.3,25.83
-65.8,26.07
-65.6,26.31
-65.2,26.65
-64.8,26.91
-64.4,27.28
-63.9,27.63
-63.6,27.88
-63.3,28.06
