Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/9",,,,
Measured Values,,"Scope 1/1, Sample 1/9",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-2.5,,26.5,,
1,0.0010,-3.1,0.0010,26.5,-0.6,
2,0.0025,-3.3,0.0015,26.5,-0.2,
3,0.0050,-3.4,0.0025,26.5,-0.1,
4,0.0085,-3.6,0.0035,26.5,-0.2,
5,0.0145,-3.5,0.0060,26.5,0.1,
6,0.0230,-3.4,0.0085,26.5,0.1,
7,0.0310,-2.9,0.0080,26.5,0.5,
8,0.0395,-2.3,0.0085,26.5,0.6,
9,0.0475,-1.4,0.0080,26.5,0.9,
10,0.0560,-0.4,0.0085,26.5,1.0,
11,0.0645,-0.8,0.0085,26.5,-0.4,
12,0.0730,0.0,0.0085,26.5,0.8,
13,0.0815,2.0,0.0085,26.5,2.0,
14,0.0895,2.8,0.0080,26.5,0.8,
15,0.0975,3.6,0.0080,26.5,0.8,
16,0.1060,4.6,0.0085,26.5,1.0,
17,0.1145,5.5,0.0085,26.5,0.9,
18,0.1230,6.5,0.0085,26.5,1.0,
19,0.1310,7.9,0.0080,26.5,1.4,
20,0.1395,9.1,0.0085,26.5,1.2,
21,0.1480,10.3,0.0085,26.5,1.2,
22,0.1560,11.6,0.0080,26.5,1.3,
23,0.1645,12.8,0.0085,26.5,1.2,
24,0.1725,13.8,0.0080,26.5,1.0,
25,0.1810,14.9,0.0085,26.5,1.1,
26,0.1895,15.8,0.0085,26.5,0.9,
27,0.1980,16.7,0.0085,26.5,0.9,
28,0.2060,17.5,0.0080,26.5,0.8,
29,0.2145,18.4,0.0085,26.5,0.9,
30,0.2225,19.5,0.0080,26.5,1.1,
31,0.2310,20.5,0.0085,26.5,1.0,
32,0.2395,21.4,0.0085,26.5,0.9,
33,0.2480,22.2,0.0085,26.5,0.8,
34,0.2565,23.0,0.0085,26.5,0.8,
35,0.2640,23.7,0.0075,26.5,0.7,
36,0.2725,24.6,0.0085,26.5,0.9,
37,0.2810,25.6,0.0085,26.5,1.0,
38,0.2895,26.5,0.0085,26.5,0.9,
39,0.2980,27.7,0.0085,26.5,1.2,
40,0.3065,28.6,0.0085,26.5,0.9,
41,0.3140,29.3,0.0075,26.5,0.7,
42,0.3225,30.0,0.0085,26.5,0.7,
43,0.3310,30.6,0.0085,26.5,0.6,
44,0.3395,32.0,0.0085,26.5,1.4,
45,0.3480,32.7,0.0085,26.5,0.7,
46,0.3565,33.5,0.0085,26.5,0.8,
47,0.3650,34.3,0.0085,26.5,0.8,
48,0.3725,34.9,0.0075,26.5,0.6,
49,0.3810,35.4,0.0085,26.5,0.5,
50,0.3895,36.1,0.0085,26.5,0.7,
51,0.3980,36.9,0.0085,26.5,0.8,
52,0.4065,37.6,0.0085,26.5,0.7,
53,0.4150,38.6,0.0085,26.5,1.0,
54,0.4235,39.4,0.0085,26.5,0.8,
55,0.4310,40.0,0.0075,26.5,0.6,
56,0.4395,40.7,0.0085,26.5,0.7,
57,0.4480,41.4,0.0085,26.5,0.7,
58,0.4565,42.1,0.0085,26.5,0.7,
59,0.4650,42.8,0.0085,26.5,0.7,
60,0.4735,43.5,0.0085,26.5,0.7,
61,0.4810,44.1,0.0075,26.5,0.6,
62,0.4895,44.6,0.0085,26.5,0.5,
63,0.4980,45.4,0.0085,26.5,0.8,
64,0.5065,46.0,0.0085,26.5,0.6,
65,0.5150,46.8,0.0085,26.5,0.8,
66,0.5235,47.5,0.0085,26.5,0.7,
67,0.5320,48.1,0.0085,26.5,0.6,
68,0.5395,48.8,0.0075,26.5,0.7,
69,0.5480,49.5,0.0085,26.5,0.7,
70,0.5565,50.2,0.0085,26.5,0.7,
71,0.5650,51.2,0.0085,26.5,1.0,
72,0.5735,51.9,0.0085,26.4,0.7,
73,0.5820,52.5,0.0085,26.5,0.6,
74,0.5905,53.1,0.0085,26.5,0.6,
75,0.5980,54.1,0.0075,26.5,1.0,
76,0.6065,54.7,0.0085,26.4,0.6,
77,0.6150,55.4,0.0085,26.5,0.7,
78,0.6235,56.0,0.0085,26.5,0.6,
79,0.6320,56.7,0.0085,26.4,0.7,
80,0.6405,57.5,0.0085,26.4,0.8,
81,0.6480,58.2,0.0075,26.4,0.7,
82,0.6565,58.8,0.0085,26.4,0.6,
83,0.6650,59.8,0.0085,26.4,1.0,
84,0.6735,60.8,0.0085,26.4,1.0,
85,0.6820,61.5,0.0085,26.4,0.7,
86,0.6905,62.0,0.0085,26.4,0.5,
87,0.6980,62.4,0.0075,26.4,0.4,
88,0.7065,63.0,0.0085,26.4,0.6,
89,0.7150,63.7,0.0085,26.4,0.7,
90,0.7235,64.7,0.0085,26.5,1.0,
91,0.7320,65.3,0.0085,26.4,0.6,
92,0.7405,65.9,0.0085,26.4,0.6,
93,0.7490,66.4,0.0085,26.4,0.5,
94,0.7565,67.1,0.0075,26.4,0.7,
95,0.7650,67.8,0.0085,26.4,0.7,
96,0.7735,68.4,0.0085,26.4,0.6,
97,0.7820,69.6,0.0085,26.4,1.2,
98,0.7905,70.7,0.0085,26.4,1.1,
99,0.7990,71.5,0.0085,26.4,0.8,
100,0.8065,72.0,0.0075,26.4,0.5,
101,0.8150,72.8,0.0085,26.4,0.8,
102,0.8235,73.4,0.0085,26.4,0.6,
103,0.8320,74.1,0.0085,26.4,0.7,
104,0.8405,74.8,0.0085,26.4,0.7,
105,0.8490,75.4,0.0085,26.4,0.6,
106,0.8570,75.9,0.0080,26.4,0.5,
107,0.8650,76.7,0.0080,26.4,0.8,
108,0.8735,77.5,0.0085,26.4,0.8,
109,0.8820,78.2,0.0085,26.4,0.7,
110,0.8900,79.3,0.0080,26.4,1.1,
111,0.8985,80.0,0.0085,26.4,0.7,
112,0.9070,80.8,0.0085,26.4,0.8,
113,0.9155,81.6,0.0085,26.4,0.8,
114,0.9235,82.4,0.0080,26.4,0.8,
115,0.9320,83.3,0.0085,26.4,0.9,
116,0.9400,84.1,0.0080,26.4,0.8,
117,0.9485,84.7,0.0085,26.4,0.6,
118,0.9570,85.5,0.0085,26.4,0.8,
119,0.9655,86.4,0.0085,26.4,0.9,
120,0.9735,87.3,0.0080,26.4,0.9,
121,0.9815,88.9,0.0080,26.4,1.6,
122,0.9900,89.4,0.0085,26.4,0.5,
123,0.9985,90.0,0.0085,26.4,0.6,
124,1.0070,90.6,0.0085,26.4,0.6,
125,1.0155,91.2,0.0085,26.4,0.6,
126,1.0240,91.9,0.0085,26.4,0.7,
127,1.0315,93.3,0.0075,26.4,1.4,
128,1.0400,94.6,0.0085,26.4,1.3,
129,1.0485,95.7,0.0085,26.4,1.1,
130,1.0570,97.2,0.0085,26.4,1.5,
131,1.0655,98.2,0.0085,26.4,1.0,
132,1.0740,99.1,0.0085,26.4,0.9,
133,1.0815,100.5,0.0075,26.4,1.4,
134,1.0900,101.6,0.0085,26.4,1.1,
135,1.0985,102.7,0.0085,26.4,1.1,
136,1.1070,103.7,0.0085,26.4,1.0,
137,1.1155,105.2,0.0085,26.4,1.5,
138,1.1240,106.3,0.0085,26.4,1.1,
139,1.1325,107.6,0.0085,26.4,1.3,
140,1.1400,109.4,0.0075,26.4,1.8,
141,1.1485,110.8,0.0085,26.4,1.4,
142,1.1570,112.5,0.0085,26.4,1.7,
143,1.1655,113.9,0.0085,26.4,1.4,
144,1.1740,114.8,0.0085,26.4,0.9,
145,1.1825,116.7,0.0085,26.4,1.9,
146,1.1910,118.2,0.0085,26.4,1.5,
147,1.1985,120.6,0.0075,26.4,2.4,
148,1.2070,122.1,0.0085,26.4,1.5,
149,1.2155,123.7,0.0085,26.4,1.6,
150,1.2240,125.5,0.0085,26.4,1.8,
151,1.2325,128.1,0.0085,26.4,2.6,
152,1.2410,130.6,0.0085,26.4,2.5,
153,1.2485,133.2,0.0075,26.4,2.6,
154,1.2570,136.1,0.0085,26.4,2.9,
155,1.2655,138.6,0.0085,26.4,2.5,
156,1.2740,142.2,0.0085,26.4,3.6,
157,1.2825,145.4,0.0085,26.4,3.2,
158,1.2910,148.8,0.0085,26.4,3.4,
159,1.2995,151.7,0.0085,26.4,2.9,
160,1.3070,155.3,0.0075,26.4,3.6,
