sample,mass,salinity,Sample.ID,Type
20180621_Conical17,59.58,34.27,Conical17,Conical
20180621_Tank13,59.15,34.24,Tank13,Tank
20180621_Tank11,59.23,34.29,Tank11,Tank
20180621_Conical16,59.43,34.29,Conical16,Conical
20180621_Tank10,59.6,34.25,Tank10,Tank
20180621_Tank14,59.53,34.27,Tank14,Tank
20180621_Conical18,59.39,34.23,Conical18,Conical
20180621_Tank15,59.3,34.3,Tank15,Tank
20180621_Tank12,59.44,34.26,Tank12,Tank
