sample,mass,salinity,Sample.ID,Type
20180618_Tank10,59.54,34.16,Tank10,Tank
20180618_Tank11,59.13,34.2,Tank11,Tank
20180618_Tank12,59.8,34.3,Tank12,Tank
20180618_Tank13,59.63,34.27,Tank13,Tank
20180618_Tank14,59.82,34.17,Tank14,Tank
20180618_Tank15,59.86,34.22,Tank15,Tank
20180618_Conical16,59.23,34.17,Conical16,Conical
20180618_Conical17,59.5,34.27,Conical17,Conical
20180618_Conical18,59.84,34.18,Conical18,Conical
