Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-13.9,,25.6,,
1,0.0005,-14.5,0.0005,25.6,-0.6,
2,0.0025,-14.6,0.0020,25.6,-0.1,
3,0.0050,-14.7,0.0025,25.6,-0.1,
4,0.0085,-14.8,0.0035,25.6,-0.1,
5,0.0150,-14.8,0.0065,25.6,0.0,
6,0.0235,-14.7,0.0085,25.6,0.1,
7,0.0320,-14.3,0.0085,25.6,0.4,
8,0.0400,-13.8,0.0080,25.6,0.5,
9,0.0480,-13.1,0.0080,25.6,0.7,
10,0.0565,-12.1,0.0085,25.6,1.0,
11,0.0650,-11.1,0.0085,25.6,1.0,
12,0.0730,-10.0,0.0080,25.6,1.1,
13,0.0815,-8.8,0.0085,25.6,1.2,
14,0.0900,-7.7,0.0085,25.6,1.1,
15,0.0980,-6.6,0.0080,25.6,1.1,
16,0.1065,-4.9,0.0085,25.6,1.7,
17,0.1150,-3.1,0.0085,25.6,1.8,
18,0.1230,-1.3,0.0080,25.6,1.8,
19,0.1315,-1.0,0.0085,25.6,0.3,
20,0.1400,0.1,0.0085,25.6,1.1,
21,0.1485,1.0,0.0085,25.6,0.9,
22,0.1560,3.1,0.0075,25.6,2.1,
23,0.1645,4.0,0.0085,25.6,0.9,
24,0.1730,4.9,0.0085,25.6,0.9,
25,0.1815,5.7,0.0085,25.6,0.8,
26,0.1900,6.4,0.0085,25.6,0.7,
27,0.1985,7.4,0.0085,25.6,1.0,
28,0.2070,8.6,0.0085,25.6,1.2,
29,0.2145,9.6,0.0075,25.6,1.0,
30,0.2230,10.7,0.0085,25.6,1.1,
31,0.2315,11.7,0.0085,25.6,1.0,
32,0.2400,12.6,0.0085,25.6,0.9,
33,0.2485,13.5,0.0085,25.6,0.9,
34,0.2570,14.4,0.0085,25.6,0.9,
35,0.2655,15.2,0.0085,25.6,0.8,
36,0.2730,16.0,0.0075,25.6,0.8,
37,0.2815,16.8,0.0085,25.6,0.8,
38,0.2900,17.6,0.0085,25.6,0.8,
39,0.2985,18.4,0.0085,25.6,0.8,
40,0.3070,19.3,0.0085,25.6,0.9,
41,0.3155,20.1,0.0085,25.6,0.8,
42,0.3240,20.8,0.0085,25.6,0.7,
43,0.3315,21.7,0.0075,25.6,0.9,
44,0.3400,22.5,0.0085,25.6,0.8,
45,0.3485,23.2,0.0085,25.6,0.7,
46,0.3570,24.0,0.0085,25.6,0.8,
47,0.3655,24.7,0.0085,25.6,0.7,
48,0.3740,25.5,0.0085,25.6,0.8,
49,0.3815,26.2,0.0075,25.6,0.7,
50,0.3900,27.0,0.0085,25.6,0.8,
51,0.3985,27.8,0.0085,25.6,0.8,
52,0.4070,28.5,0.0085,25.6,0.7,
53,0.4155,29.3,0.0085,25.6,0.8,
54,0.4240,30.0,0.0085,25.6,0.7,
55,0.4320,30.8,0.0080,25.6,0.8,
56,0.4400,31.5,0.0080,25.6,0.7,
57,0.4485,32.2,0.0085,25.6,0.7,
58,0.4570,33.0,0.0085,25.6,0.8,
59,0.4655,33.8,0.0085,25.6,0.8,
60,0.4740,34.5,0.0085,25.6,0.7,
61,0.4820,35.3,0.0080,25.6,0.8,
62,0.4905,36.0,0.0085,25.6,0.7,
63,0.4985,36.8,0.0080,25.6,0.8,
64,0.5070,37.5,0.0085,25.6,0.7,
65,0.5150,38.3,0.0080,25.6,0.8,
66,0.5235,39.1,0.0085,25.6,0.8,
67,0.5320,39.8,0.0085,25.6,0.7,
68,0.5405,40.5,0.0085,25.6,0.7,
69,0.5490,41.2,0.0085,25.6,0.7,
70,0.5565,42.0,0.0075,25.6,0.8,
71,0.5650,42.7,0.0085,25.6,0.7,
72,0.5735,43.5,0.0085,25.6,0.8,
73,0.5820,44.2,0.0085,25.6,0.7,
74,0.5905,45.0,0.0085,25.6,0.8,
75,0.5990,45.8,0.0085,25.6,0.8,
76,0.6065,46.5,0.0075,25.6,0.7,
77,0.6150,47.2,0.0085,25.6,0.7,
78,0.6235,48.0,0.0085,25.5,0.8,
79,0.6320,48.7,0.0085,25.5,0.7,
80,0.6405,49.5,0.0085,25.5,0.8,
81,0.6490,50.2,0.0085,25.5,0.7,
82,0.6575,51.0,0.0085,25.5,0.8,
83,0.6650,51.7,0.0075,25.5,0.7,
84,0.6735,52.5,0.0085,25.5,0.8,
85,0.6820,53.3,0.0085,25.5,0.8,
86,0.6905,54.1,0.0085,25.5,0.8,
87,0.6990,54.9,0.0085,25.5,0.8,
88,0.7075,55.6,0.0085,25.5,0.7,
89,0.7160,56.4,0.0085,25.5,0.8,
90,0.7235,57.2,0.0075,25.5,0.8,
91,0.7320,58.1,0.0085,25.5,0.9,
92,0.7405,58.9,0.0085,25.5,0.8,
93,0.7490,59.7,0.0085,25.5,0.8,
94,0.7575,60.6,0.0085,25.5,0.9,
95,0.7660,61.4,0.0085,25.5,0.8,
96,0.7745,62.1,0.0085,25.5,0.7,
97,0.7820,62.8,0.0075,25.5,0.7,
98,0.7905,63.7,0.0085,25.5,0.9,
99,0.7990,64.5,0.0085,25.5,0.8,
100,0.8075,65.4,0.0085,25.5,0.9,
101,0.8160,66.2,0.0085,25.5,0.8,
102,0.8245,67.0,0.0085,25.5,0.8,
103,0.8320,67.8,0.0075,25.5,0.8,
104,0.8405,68.7,0.0085,25.5,0.9,
105,0.8490,69.5,0.0085,25.5,0.8,
106,0.8575,70.3,0.0085,25.5,0.8,
107,0.8660,71.2,0.0085,25.5,0.9,
108,0.8740,72.1,0.0080,25.5,0.9,
109,0.8825,73.0,0.0085,25.5,0.9,
110,0.8905,73.7,0.0080,25.5,0.7,
111,0.8990,74.6,0.0085,25.5,0.9,
112,0.9075,75.5,0.0085,25.5,0.9,
113,0.9160,76.3,0.0085,25.5,0.8,
114,0.9240,77.3,0.0080,25.5,1.0,
115,0.9325,78.2,0.0085,25.5,0.9,
116,0.9410,79.1,0.0085,25.5,0.9,
117,0.9490,80.0,0.0080,25.5,0.9,
118,0.9570,81.1,0.0080,25.5,1.1,
119,0.9655,82.1,0.0085,25.5,1.0,
120,0.9740,83.1,0.0085,25.5,1.0,
121,0.9825,84.1,0.0085,25.5,1.0,
122,0.9910,85.1,0.0085,25.5,1.0,
123,0.9995,86.0,0.0085,25.5,0.9,
124,1.0070,87.0,0.0075,25.5,1.0,
125,1.0155,88.0,0.0085,25.5,1.0,
126,1.0240,89.0,0.0085,25.5,1.0,
127,1.0325,90.2,0.0085,25.5,1.2,
128,1.0410,91.4,0.0085,25.5,1.2,
129,1.0495,92.6,0.0085,25.5,1.2,
130,1.0570,93.7,0.0075,25.5,1.1,
131,1.0655,94.9,0.0085,25.5,1.2,
132,1.0740,96.1,0.0085,25.5,1.2,
133,1.0825,97.3,0.0085,25.5,1.2,
134,1.0910,98.7,0.0085,25.5,1.4,
135,1.0995,99.9,0.0085,25.5,1.2,
136,1.1080,101.3,0.0085,25.5,1.4,
137,1.1155,102.5,0.0075,25.5,1.2,
138,1.1240,104.2,0.0085,25.5,1.7,
139,1.1325,105.8,0.0085,25.5,1.6,
140,1.1410,107.2,0.0085,25.5,1.4,
141,1.1495,108.6,0.0085,25.5,1.4,
142,1.1580,110.1,0.0085,25.5,1.5,
143,1.1655,111.7,0.0075,25.5,1.6,
144,1.1740,113.7,0.0085,25.5,2.0,
145,1.1825,115.8,0.0085,25.5,2.1,
146,1.1910,118.2,0.0085,25.5,2.4,
147,1.1995,120.5,0.0085,25.5,2.3,
148,1.2080,123.0,0.0085,25.5,2.5,
149,1.2165,125.1,0.0085,25.5,2.1,
150,1.2240,127.4,0.0075,25.5,2.3,
151,1.2325,130.1,0.0085,25.5,2.7,
152,1.2410,133.0,0.0085,25.5,2.9,
153,1.2495,136.2,0.0085,25.5,3.2,
154,1.2580,139.4,0.0085,25.5,3.2,
155,1.2665,142.7,0.0085,25.5,3.3,
156,1.2750,146.5,0.0085,25.5,3.8,
157,1.2825,149.4,0.0075,25.5,2.9,
158,1.2910,153.2,0.0085,25.5,3.8,
159,1.2995,156.9,0.0085,25.5,3.7,
160,1.3080,160.1,0.0085,25.5,3.2,
