sample,mass,salinity,Sample.ID,Type
20180613_Tank11,59.27,34.2,Tank11,Tank
20180613_Tank10,59.93,34.04,Tank10,Tank
20180613_Tank13,59.9,34.2,Tank13,Tank
20180613_Tank12,59.51,34.2,Tank12,Tank
20180613_Tank14,59.54,34.2,Tank14,Tank
20180613_Tank15,59.89,34.19,Tank15,Tank
