Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/6",,,,
Measured Values,,"Scope 1/1, Sample 1/6",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-21.2,,25.3,,
1,0.0005,-21.3,0.0005,25.3,-0.1,
2,0.0025,-21.2,0.0020,25.3,0.1,
3,0.0050,-21.3,0.0025,25.3,-0.1,
4,0.0090,-21.3,0.0040,25.3,0.0,
5,0.0150,-21.1,0.0060,25.3,0.2,
6,0.0235,-20.8,0.0085,25.3,0.3,
7,0.0320,-20.1,0.0085,25.3,0.7,
8,0.0395,-19.3,0.0075,25.3,0.8,
9,0.0480,-18.4,0.0085,25.3,0.9,
10,0.0565,-17.1,0.0085,25.3,1.3,
11,0.0650,-15.7,0.0085,25.3,1.4,
12,0.0735,-14.2,0.0085,25.3,1.5,
13,0.0820,-12.8,0.0085,25.3,1.4,
14,0.0895,-11.5,0.0075,25.3,1.3,
15,0.0980,-10.0,0.0085,25.3,1.5,
16,0.1065,-8.6,0.0085,25.3,1.4,
17,0.1150,-7.4,0.0085,25.3,1.2,
18,0.1235,-6.1,0.0085,25.3,1.3,
19,0.1320,-4.1,0.0085,25.3,2.0,
20,0.1405,-2.8,0.0085,25.3,1.3,
21,0.1480,-1.5,0.0075,25.3,1.3,
22,0.1565,-0.3,0.0085,25.3,1.2,
23,0.1650,-0.4,0.0085,25.3,-0.1,
24,0.1735,0.7,0.0085,25.3,1.1,
25,0.1820,2.3,0.0085,25.3,1.6,
26,0.1905,3.2,0.0085,25.3,0.9,
27,0.1980,4.0,0.0075,25.3,0.8,
28,0.2065,4.9,0.0085,25.3,0.9,
29,0.2150,5.6,0.0085,25.3,0.7,
30,0.2235,6.4,0.0085,25.3,0.8,
31,0.2320,7.6,0.0085,25.3,1.2,
32,0.2405,8.8,0.0085,25.3,1.2,
33,0.2480,9.9,0.0075,25.3,1.1,
34,0.2565,11.0,0.0085,25.3,1.1,
35,0.2650,12.0,0.0085,25.3,1.0,
36,0.2735,13.0,0.0085,25.3,1.0,
37,0.2820,13.9,0.0085,25.3,0.9,
38,0.2905,14.8,0.0085,25.3,0.9,
39,0.2990,15.6,0.0085,25.3,0.8,
40,0.3065,16.5,0.0075,25.2,0.9,
41,0.3150,17.4,0.0085,25.2,0.9,
42,0.3235,18.2,0.0085,25.3,0.8,
43,0.3320,19.1,0.0085,25.3,0.9,
44,0.3405,20.0,0.0085,25.2,0.9,
45,0.3490,20.8,0.0085,25.2,0.8,
46,0.3565,21.6,0.0075,25.2,0.8,
47,0.3650,22.5,0.0085,25.3,0.9,
48,0.3735,23.3,0.0085,25.3,0.8,
49,0.3820,24.2,0.0085,25.3,0.9,
50,0.3905,25.0,0.0085,25.2,0.8,
51,0.3990,25.9,0.0085,25.2,0.9,
52,0.4065,26.6,0.0075,25.2,0.7,
53,0.4150,27.4,0.0085,25.2,0.8,
54,0.4235,28.2,0.0085,25.2,0.8,
55,0.4320,29.0,0.0085,25.2,0.8,
56,0.4405,29.8,0.0085,25.2,0.8,
57,0.4490,30.7,0.0085,25.3,0.9,
58,0.4570,31.4,0.0080,25.2,0.7,
59,0.4655,32.3,0.0085,25.2,0.9,
60,0.4735,33.1,0.0080,25.2,0.8,
61,0.4820,33.9,0.0085,25.2,0.8,
62,0.4905,34.7,0.0085,25.3,0.8,
63,0.4990,35.6,0.0085,25.2,0.9,
64,0.5070,36.3,0.0080,25.2,0.7,
65,0.5155,37.2,0.0085,25.2,0.9,
66,0.5240,38.0,0.0085,25.2,0.8,
67,0.5320,38.8,0.0080,25.2,0.8,
68,0.5405,39.7,0.0085,25.2,0.9,
69,0.5490,40.5,0.0085,25.2,0.8,
70,0.5575,41.3,0.0085,25.2,0.8,
71,0.5655,42.1,0.0080,25.2,0.8,
72,0.5740,43.0,0.0085,25.2,0.9,
73,0.5820,43.9,0.0080,25.2,0.9,
74,0.5905,44.7,0.0085,25.2,0.8,
75,0.5990,45.5,0.0085,25.2,0.8,
76,0.6075,46.3,0.0085,25.2,0.8,
77,0.6155,47.2,0.0080,25.2,0.9,
78,0.6235,48.0,0.0080,25.2,0.8,
79,0.6320,48.9,0.0085,25.2,0.9,
80,0.6405,49.8,0.0085,25.2,0.9,
81,0.6490,50.6,0.0085,25.2,0.8,
82,0.6575,51.5,0.0085,25.2,0.9,
83,0.6660,52.2,0.0085,25.2,0.7,
84,0.6735,53.1,0.0075,25.2,0.9,
85,0.6820,53.9,0.0085,25.2,0.8,
86,0.6905,54.8,0.0085,25.2,0.9,
87,0.6990,55.6,0.0085,25.2,0.8,
88,0.7075,56.5,0.0085,25.2,0.9,
89,0.7160,57.4,0.0085,25.2,0.9,
90,0.7240,58.2,0.0080,25.2,0.8,
91,0.7325,59.0,0.0085,25.2,0.8,
92,0.7405,59.9,0.0080,25.2,0.9,
93,0.7490,60.8,0.0085,25.2,0.9,
94,0.7575,61.6,0.0085,25.2,0.8,
95,0.7660,62.5,0.0085,25.2,0.9,
96,0.7740,63.3,0.0080,25.2,0.8,
97,0.7825,64.2,0.0085,25.2,0.9,
98,0.7905,65.1,0.0080,25.2,0.9,
99,0.7990,66.0,0.0085,25.2,0.9,
100,0.8075,66.9,0.0085,25.2,0.9,
101,0.8160,67.8,0.0085,25.2,0.9,
102,0.8245,68.5,0.0085,25.2,0.7,
103,0.8325,69.4,0.0080,25.2,0.9,
104,0.8405,70.2,0.0080,25.2,0.8,
105,0.8490,71.2,0.0085,25.2,1.0,
106,0.8575,72.1,0.0085,25.2,0.9,
107,0.8660,72.9,0.0085,25.2,0.8,
108,0.8745,73.9,0.0085,25.2,1.0,
109,0.8825,74.7,0.0080,25.2,0.8,
110,0.8910,75.6,0.0085,25.2,0.9,
111,0.8990,76.5,0.0080,25.2,0.9,
112,0.9075,77.4,0.0085,25.2,0.9,
113,0.9160,78.4,0.0085,25.2,1.0,
114,0.9245,79.3,0.0085,25.2,0.9,
115,0.9325,80.2,0.0080,25.2,0.9,
116,0.9405,81.2,0.0080,25.2,1.0,
117,0.9490,82.1,0.0085,25.2,0.9,
118,0.9575,83.1,0.0085,25.2,1.0,
119,0.9660,84.2,0.0085,25.2,1.1,
120,0.9745,85.2,0.0085,25.2,1.0,
121,0.9830,86.2,0.0085,25.2,1.0,
122,0.9910,87.3,0.0080,25.2,1.1,
123,0.9995,88.3,0.0085,25.2,1.0,
124,1.0075,89.3,0.0080,25.2,1.0,
125,1.0160,90.3,0.0085,25.2,1.0,
126,1.0245,91.3,0.0085,25.2,1.0,
127,1.0330,92.4,0.0085,25.2,1.1,
128,1.0410,93.6,0.0080,25.2,1.2,
129,1.0495,94.7,0.0085,25.2,1.1,
130,1.0580,95.8,0.0085,25.2,1.1,
131,1.0660,97.0,0.0080,25.2,1.2,
132,1.0745,98.4,0.0085,25.2,1.4,
133,1.0830,99.7,0.0085,25.2,1.3,
134,1.0910,100.9,0.0080,25.2,1.2,
135,1.0995,102.3,0.0085,25.2,1.4,
136,1.1080,103.7,0.0085,25.2,1.4,
137,1.1165,105.2,0.0085,25.2,1.5,
138,1.1245,106.7,0.0080,25.2,1.5,
139,1.1330,108.3,0.0085,25.2,1.6,
140,1.1410,109.8,0.0080,25.2,1.5,
141,1.1495,111.4,0.0085,25.2,1.6,
142,1.1580,113.3,0.0085,25.2,1.9,
143,1.1665,115.2,0.0085,25.2,1.9,
144,1.1745,117.1,0.0080,25.2,1.9,
145,1.1830,119.0,0.0085,25.2,1.9,
146,1.1915,121.0,0.0085,25.2,2.0,
147,1.1995,123.3,0.0080,25.2,2.3,
148,1.2080,125.4,0.0085,25.2,2.1,
149,1.2160,127.9,0.0080,25.2,2.5,
150,1.2245,130.6,0.0085,25.2,2.7,
151,1.2330,133.4,0.0085,25.2,2.8,
152,1.2415,136.7,0.0085,25.2,3.3,
153,1.2495,139.5,0.0080,25.2,2.8,
154,1.2580,142.8,0.0085,25.2,3.3,
155,1.2665,145.9,0.0085,25.2,3.1,
156,1.2745,149.6,0.0080,25.2,3.7,
157,1.2830,153.3,0.0085,25.2,3.7,
158,1.2915,157.0,0.0085,25.2,3.7,
159,1.2995,160.2,0.0080,25.2,3.2,
160,1.3080,163.8,0.0085,25.2,3.6,
